period,strategy_return,stock_buyhold_return,benchmark_60_40_return
2013-01-31,-0.005645973996529885,-0.005534542961037725,-0.0035244842860557846
2013-02-28,0.016421018997894388,0.018050611627077107,0.014680537410806993
2013-03-31,0.020526020185412497,0.022455016777438663,0.014931993112535569
2013-04-30,0.023737649955610562,0.03244486304908367,0.026991707315970448
2013-05-31,0.011369223495972358,0.024130158633786758,0.00010969010202144247
2013-06-30,-0.01657182978047722,-0.014151188973580253,-0.01772011145149044
2013-07-31,0.0625409779020274,0.07290222250944,0.041388186902173496
2013-08-31,-0.004667951422607897,-0.00337799558020746,-0.010936977634234957
2013-09-30,0.03959296804986323,0.04144432767074191,0.03578368835003065
2013-10-31,0.03760911768163244,0.04117985802017099,0.02667834974299388
2013-11-30,0.02533559311461797,0.0299048267877704,0.014895519066207674
2013-12-31,0.015558688345938654,0.017623272728424455,0.00450974065852372
2014-01-31,-0.016691756612777442,-0.019967791908192978,3.1099142526525014e-05
2014-02-28,0.060871326409926096,0.07392517613432159,0.043235590982383165
2014-03-31,-0.017600491736143864,-0.012834241196827634,-0.011165356876846944
2014-04-30,-0.026752100195306938,-0.021802221124261334,-0.005378402848872588
2014-05-31,0.022672947647620623,0.04217624523711727,0.026977341811016853
2014-06-30,0.03710542366861591,0.045794620712698464,0.027353785202827607
2014-07-31,0.0029543508714475752,0.0023133804090198495,0.006291475111806166
2014-08-31,0.04316982016500348,0.043642265111486944,0.029005060522778514
2014-09-30,-0.02024024006256686,-0.020493924326356328,-0.012147342965786234
2014-10-31,-0.0061678016488326826,0.04269091064217179,0.02983898074671476
2014-11-30,0.03490386257785083,0.03818105234931246,0.025397348527744334
2014-12-31,-0.03144957078867161,-0.03252004727115432,-0.01157359441681316
2015-01-31,0.010527741873843643,0.015084414846150862,0.01821067688659328
2015-02-28,0.05146280123468294,0.057401196791291964,0.023977532203727225
2015-03-31,-0.0304485500372339,-0.032224493092895545,-0.011374387338098813
2015-04-30,0.03847484951215541,0.03909818756084249,0.01705993276486617
2015-05-31,0.0009042764368301093,0.00769021038181017,0.0015518259513984667
2015-06-30,-0.01639985719188064,-0.0170048273140867,-0.012536096608034786
2015-07-31,0.030917875969994846,0.03186659958048388,0.02531722032015704
2015-08-31,-0.08319509018217852,-0.06724133776730146,-0.037668614390063415
2015-09-30,0.0012643171882245063,0.003494385805500988,0.010547205788236536
2015-10-31,0.09029342164846876,0.10575925079887294,0.055172212325881764
2015-11-30,-0.004633633327686737,-0.004869084831957471,-0.0012614912920825283
2015-12-31,-0.04075856854574811,-0.04199364638064351,-0.02602846474407572
2016-01-31,-0.04785451553322717,-0.06550160397110094,-0.025874459924850157
2016-02-29,-0.0057773264960276904,0.03602542142302556,0.02242094452766996
2016-03-31,0.025629557018982174,0.041917136589606496,0.02913551817534832
2016-04-30,-0.031160418375570154,-0.03829342924585588,-0.02265606488396199
2016-05-31,0.03497264277073642,0.04587158876582165,0.026980587443427018
2016-06-30,-0.025902759265865605,-0.025989273330136786,-0.0007380245417240028
2016-07-31,0.06474747461325348,0.07019166224491236,0.03688852426676381
2016-08-31,0.016275329769746882,0.018789373790315755,0.00915365848856009
2016-09-30,0.01329935300960483,0.013204800094725133,0.006667694898988996
2016-10-31,-0.026387520412540666,-0.026949386193781955,-0.018161343140106756
2016-11-30,-0.002556321677549822,0.004514629098629985,-0.015138982115868727
2016-12-31,0.04203484046162376,0.041879543213677595,0.024578705495252207
2017-01-31,0.039849112316598934,0.04268207875911001,0.02550126250218021
2017-02-28,0.038761117706137105,0.04356860229497128,0.025553589467399718
2017-03-31,0.014552429217171925,0.015335680820281139,0.0149820858505465
2017-04-30,0.03554911316752696,0.037129265229940644,0.025286382920303385
2017-05-31,0.04116884981366087,0.04387706207694131,0.03130854431079233
2017-06-30,-0.0390360465928391,-0.03872390431192141,-0.027787296792181393
2017-07-31,0.037137752680107994,0.04668069901552263,0.031197499483859747
2017-08-31,0.001801288218858943,0.005140602266987315,0.010193448637586755
2017-09-30,0.007880403573994332,0.010500596911792393,-0.0009086277168679491
2017-10-31,0.04057856750304367,0.04057856750304367,0.024178338401741106
2017-11-30,0.004853098135038314,0.005928268031208939,0.0030904754991798455
2017-12-31,0.0501251621043628,0.0501251621043628,0.028403725039659156
2018-01-31,0.028180896446599712,0.02862016082505936,0.00577214959255179
2018-02-28,-0.0040205594899273,0.00838357155228664,0.006044032042157976
2018-03-31,-0.028948547317539375,-0.051056848908527575,-0.02668483739492833
2018-04-30,-0.009258376402312751,0.02899686960908543,0.01288742583231084
2018-05-31,0.06893991136799182,0.07712255656916178,0.04746567471150831
2018-06-30,-0.013853332852148736,-0.017982779811919425,-0.00621330101465245
2018-07-31,0.04617410702702629,0.05111205783589057,0.027191374017139447
2018-08-31,0.020343780904234388,0.021835011434349738,0.01678743931582427
2018-09-30,0.011625355492957956,0.014359536302614995,0.004813577348491194
2018-10-31,-0.07916419451279755,-0.08812908794094032,-0.05543529270479974
2018-11-30,-0.007245172719174575,-0.021608221589185406,-0.002195356534625992
2018-12-31,-0.008962957559279672,-0.09335858974474143,-0.04403384831994528
2019-01-31,0.033930259720651,0.13155815278705374,0.07292969894598333
2019-02-28,0.016050179440812995,0.028844091281554185,0.018165722108727245
2019-03-31,0.04172522110640675,0.0495503856386994,0.03854776163479934
2019-04-30,0.022116704141077914,0.029442108987209892,0.01629850925495613
2019-05-31,-0.04782561014914832,-0.07017161477754763,-0.028695639305285292
2019-06-30,0.06202670117852427,0.08873205112846216,0.05813744967810397
2019-07-31,-0.014413406546338159,-0.013999242049405392,-0.003687694433146871
2019-08-31,0.004505734586365051,0.005230941599190908,0.015952505490228752
2019-09-30,-0.019916851644537714,-0.020755197241702494,-0.01591589634114854
2019-10-31,0.06334749984410948,0.08720448240128142,0.04702710999633131
2019-11-30,0.005420900800566564,0.00654669546034814,0.0062018618046948415
2019-12-31,0.06456193795036058,0.06570859425069919,0.037710099409214104
2020-01-31,0.053130514758416014,0.062050541399887305,0.04391566576194417
2020-02-29,-0.057276986057466894,-0.07908763508744632,-0.028847988382348477
2020-03-31,-0.006248773298738075,-0.11014702656715192,-0.04650338326289749
2020-04-30,0.0378022179490316,0.157034815527487,0.09345338292150474
2020-05-31,0.05917181762329826,0.09483319393767231,0.0561196788643068
2020-06-30,0.053644494481406735,0.07214082617297346,0.044411766968765365
2020-07-31,0.05310702615216467,0.07212816937417776,0.04817116865374227
2020-08-31,0.07982640390958773,0.11975762315949945,0.06713319058726674
2020-09-30,-0.08194123435827805,-0.09396889458177549,-0.056873829544075494
2020-10-31,-0.010500891431962422,0.0012393005823116976,-0.004094900324853379
2020-11-30,0.05646509004945943,0.10631722682392009,0.061679533148173205
2020-12-31,0.023814296689351533,0.02822186775077551,0.018028552614882676
2021-01-31,0.03813094324913302,0.0507280544229991,0.026492431187920884
