year,strategy_return,stock_buyhold_return,benchmark_60_40_return,static_50_30_20_return,strategy_excess_vs_bh
2013,0.24756062197044115,0.311209779192579,0.15610771794699496,0.13059191871150677,-0.06364915722213782
2014,0.08022634354031721,0.1886436726091416,0.15583988995819054,0.1249277525339576,-0.1084173290688244
2015,0.037586103387014624,0.08860062179318784,0.06111400490276386,0.0508424246671797,-0.051014518406173215
2016,0.05223581874646421,0.11178102591787153,0.07285777325291454,0.06096267341632977,-0.05954520717140732
2017,0.30558459617164524,0.3436108700315341,0.2066434887021873,0.17046180046617287,-0.03802627385988888
2018,0.016018573831941163,-0.055889801586724186,-0.01813670535403822,-0.011337159038127376,0.07190837541866535
2019,0.24915458763556897,0.4413633575832847,0.2904914407107897,0.23915318163430355,-0.19220876994771574
2020,0.2767556238897868,0.464354424813858,0.32388098070462323,0.26420545569895837,-0.18759880092407122
2021,0.21710218369421974,0.2774326653905921,0.14384313039770413,0.1208634422895083,-0.06033048169637234
2022,-0.287904781967266,-0.32479542970234965,-0.2435037440535387,-0.19924032721582874,0.03689064773508366
2023,0.36619861804060827,0.5093029478942241,0.2957753244305861,0.2535348107968447,-0.14310432985361587
2024,0.21697725993890793,0.309622102747271,0.17798600039838863,0.15910387831079542,-0.09264484280836305
2025,0.14686065786010594,0.19774032512066797,0.1591984447366599,0.13866965413124732,-0.050879667260562034
2026,0.10812356059218176,0.14233084401255236,0.07936959695484358,0.06983209677398672,-0.034207283420370604
