feature,importance
atr_14_pct,0.18145796138755432
volatility_60d,0.1590024034628874
volatility_20d,0.10272157290165086
downside_volatility_20d,0.09750544225968866
close_to_60d_high,0.060506094603288596
bollinger_width_20,0.05939499832278371
drawdown,0.04787941361248541
trend_slope_60,0.04764359904488901
volatility_5d,0.04674251046111551
close_to_20d_high,0.030479456837177298
volatility_ratio_20_60,0.02414804447311137
price_position_60,0.017855052129125026
trend_slope_20,0.01702948473701176
return_20d,0.016533562001358824
return_20d_zscore,0.01421358659373936
return_5d,0.009959413351950393
volume_ratio_20,0.009073573349231742
return_3d,0.008937710558418651
volatility_ratio_5_20,0.008806827504220223
price_position_20,0.008777163334610944
volume_zscore_20,0.008414468751425293
return_5d_zscore,0.007356321555452379
log_return,0.006178723057147309
daily_return,0.005393687860895541
volume_change,0.003988927848780415
