Date,Close,direction_pred_label,final_direction,risk_pred_label,final_risk,prob_상승,prob_하락,prob_횡보,prob_고변동,prob_정상,stock_weight,bond_weight,cash_weight,allocation_reason,qqq_next_month_return,bond_monthly_return,cash_monthly_return,strategy_return,benchmark_return,strategy_capital,benchmark_capital,strategy_cumulative_return,benchmark_cumulative_return
2013-04-30,63.458946228027344,횡보,불확실,정상,정상,35.8547,25.2725,38.8728,4.6713,95.3287,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.03577531312476023,0.0,0.0,0.023253953531094152,0.03577531312476023,102325395.3531094,103577531.31247602,0.02325395353109405,0.03577531312476023
2013-05-31,65.72920989990234,횡보,불확실,정상,정상,23.793,35.8263,40.3807,4.2782,95.7218,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,-0.02395284924109653,0.0,0.0,-0.015569352006712745,-0.02395284924109653,100732255.2536308,101096554.32018334,0.007322552536308091,0.010965543201833405
2013-06-28,64.1548080444336,하락,불확실,정상,정상,23.8186,41.2194,34.9619,1.9996,98.0004,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.06314037069537881,0.0,0.0,0.04104124095199623,0.06314037069537881,104866432.01313305,107479828.23598522,0.048664320131330596,0.07479828235985209
2013-07-31,68.20556640625,횡보,횡보,정상,정상,28.4008,25.8835,45.7156,2.7452,97.2548,0.6,0.25,0.15,횡보 및 정상 변동성: 균형 성장 배분,-0.003959802412571101,0.0,0.0,-0.0023758814475426603,-0.003959802412571101,104617281.80284305,107054229.35283364,0.04617281802843043,0.07054229352833641
2013-08-30,67.93548583984375,하락,불확실,정상,정상,35.8083,38.7351,25.4566,2.203,97.797,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.0483222976402784,0.0,0.0,0.03140949346618096,0.0483222976402784,107903257.63207906,112227335.6872719,0.07903257632079064,0.12227335687271901
2013-09-30,71.2182846069336,횡보,불확실,정상,정상,35.1541,28.2912,36.5547,9.8434,90.1566,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.04956944089288995,0.0,0.0,0.03222013658037847,0.04956944089288995,111379915.33045241,117790381.97018863,0.11379915330452417,0.1779038197018863
2013-10-31,74.74853515625,하락,불확실,정상,정상,36.4823,40.0233,23.4944,7.0098,92.9902,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.03551060276970319,0.0,0.0,0.023081891800307074,0.03551060276970319,113950774.48483728,121973189.43442361,0.1395077448483728,0.21973189434423612
2013-11-29,77.40290069580078,횡보,불확실,정상,정상,19.3034,38.2828,42.4138,6.5149,93.4851,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.029271135267545656,0.0,0.0,0.019026237923904676,0.029271135267545656,116118829.03179902,125543483.1613726,0.1611882903179902,0.25543483161372604
2013-12-31,79.66857147216797,하락,하락,정상,정상,29.1951,49.4117,21.3932,7.8133,92.1867,0.45,0.35,0.2,하락 가능성 우세이나 변동성 정상: 부분 방어 배분,-0.019212973669929023,0.0,0.0,-0.008645838151468061,-0.019212973669929023,115114884.4296521,123131419.52496198,0.15114884429652098,0.23131419524961983
2014-01-31,78.13790130615234,하락,하락,정상,정상,17.7046,49.8342,32.4612,5.7865,94.2135,0.45,0.35,0.2,하락 가능성 우세이나 변동성 정상: 부분 방어 배분,0.05152420630538446,0.0,0.0,0.023185892837423006,0.05152420630538446,117783925.80403033,129475668.18724096,0.1778392580403032,0.29475668187240966
2014-02-28,82.16389465332031,상승,불확실,정상,정상,41.0204,38.034,20.9456,6.7516,93.2484,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,-0.027335727403586474,0.0,0.0,-0.01776822281233121,-0.027335727403586474,115691114.76663323,125936356.61627732,0.1569111476663323,0.2593635661627731
2014-03-31,79.91788482666016,하락,하락,정상,정상,23.6626,54.5346,21.8028,5.8095,94.1905,0.45,0.35,0.2,하락 가능성 우세이나 변동성 정상: 부분 방어 배분,-0.00319360473325192,0.0,0.0,-0.0014371221299633642,-0.00319360473325192,115524852.50536196,125534165.67169908,0.15524852505361952,0.25534165671699083
2014-04-30,79.66265869140625,상승,상승,정상,정상,47.869,25.3939,26.7371,6.374,93.626,0.85,0.1,0.05,상승 우세 및 정상 변동성: 주식 비중 확대,0.04485610557212616,0.0,0.0,0.03812768973630724,0.04485610557212616,119929548.23851906,131165139.45997758,0.19929548238519068,0.31165139459977587
2014-05-30,83.23601531982422,하락,불확실,정상,정상,39.9617,40.7775,19.2609,7.7091,92.2909,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.03123820166818958,0.0,0.0,0.020304831084323228,0.03123820166818958,122364697.45752138,135262502.53826457,0.22364697457521387,0.35262502538264573
2014-06-30,85.8361587524414,하락,불확실,정상,정상,22.4114,40.1058,37.4828,19.0363,80.9637,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.011819602252905348,0.0,0.0,0.007682741464388476,0.011819602252905348,123304793.79245563,136861251.51799947,0.23304793792455625,0.3686125151799946
2014-07-31,86.8507080078125,하락,하락,정상,정상,25.5608,57.0794,17.3598,13.394,86.606,0.45,0.35,0.2,하락 가능성 우세이나 변동성 정상: 부분 방어 배분,0.05009497794038076,0.0,0.0,0.022542740073171343,0.05009497794038076,126084421.70869493,143717312.89368656,0.2608442170869494,0.43717312893686566
2014-08-29,91.20149230957033,상승,상승,정상,정상,48.1713,30.965,20.8637,16.776,83.224,0.85,0.1,0.05,상승 우세 및 정상 변동성: 주식 비중 확대,-0.007566612642737391,0.0,0.0,-0.006431620746326782,-0.007566612642737391,125273494.52624469,142629859.65696496,0.2527349452624468,0.4262985965696495
2014-09-30,90.51140594482422,하락,불확실,정상,정상,32.0838,37.8284,30.0878,6.7125,93.2875,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,0.02641983473526488,0.0,0.0,0.017172892577922174,0.02641983473526488,127424802.79060481,146398116.977416,0.2742480279060482,0.46398116977416004
2014-10-31,92.90270233154295,하락,하락,정상,정상,34.4666,43.3918,22.1415,19.0032,80.9968,0.45,0.35,0.2,하락 가능성 우세이나 변동성 정상: 부분 방어 배분,0.04546329895771062,0.0,0.0,0.020458484530969778,0.04546329895771062,130031721.1473583,153053858.33640617,0.30031721147358303,0.5305385833640617
2014-11-28,97.1263656616211,상승,상승,정상,정상,52.042,28.661,19.297,22.4038,77.5962,0.85,0.1,0.05,상승 우세 및 정상 변동성: 주식 비중 확대,-0.02240602858620311,0.0,0.0,-0.019045124298272643,-0.02240602858620311,127555250.85538854,149624529.21129197,0.27555250855388547,0.4962452921129197
2014-12-31,94.9501495361328,하락,불확실,정상,정상,35.6127,41.5069,22.8803,5.9522,94.0478,0.65,0.25,0.1,방향성은 불확실하지만 변동성 정상: 중립 성장 배분,-0.020823352997507483,0.0,0.0,-0.013535179448379864,-0.020823352997507483,125828767.64547774,146508844.82243937,0.25828767645477746,0.46508844822439377
2015-01-30,92.97296905517578,상승,상승,정상,정상,45.671,28.1263,26.2027,13.7004,86.2996,0.85,0.1,0.05,상승 우세 및 정상 변동성: 주식 비중 확대,0.07220580604888194,0.0,0.0,0.061374935141549646,0.07220580604888194,133551500.09866005,157087634.05613416,0.3355150009866006,0.5708763405613417
