policy1_hold_reason,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
emergency,85_95,BEAR,11,2018-04-16,2025-04-21,0.36272727272727273,0.36272727272727273,0.4800000000000001,0.8843217399987308,0.8369447125324195,0.9132996632996633,4.52626222622321e-05,-0.0086395024460999,0.004026469437317104,-0.01780878647710582,-0.003981206815054872
emergency,85_95,BULL,4,2020-06-19,2022-12-19,0.52,0.52,0.52,0.8851482175290585,0.8258541292689954,0.9117063492063493,0.011853553063130962,0.0,0.024057583811486927,0.0,-0.012204030748355965
emergency,85_95,NEUTRAL,1,2022-12-27,2022-12-27,0.48,0.48,0.48,0.889626306295395,0.8520017903918129,0.8955026455026455,11.58273591951825,0.0,88.6365555703078,0.0,-77.05381965078956
emergency,95_100,BEAR,13,2016-01-04,2026-03-27,0.35,0.35,0.37999999999999995,0.8874044902049578,0.8378993966447867,0.9654049654049655,0.0013434856741860735,-0.010127908371373562,0.000911410161712034,-0.04278998736555273,0.0004320755124740394
emergency,95_100,BULL,4,2015-01-28,2020-06-26,0.585,0.585,0.42,0.8551773630082607,0.7932842642670425,0.9768224376419716,-0.0019541352726505368,-0.007203943452868344,-0.003001537784198427,-0.01620309544359566,0.0010474025115478902
emergency,95_100,NEUTRAL,4,2015-12-11,2020-02-27,0.475,0.475,0.38,0.8989301554858685,0.7122104715607817,0.9849880203653789,0.006842563835926185,0.0,0.01886673425555596,0.0,-0.012024170419629776
initial,raw_fallback,BULL,1,2013-01-02,2013-01-02,0.86,0.86,0.86,0.1113498028367757,0.1113498028367757,,1.6205718885209248,0.0,2.0170862151394693,0.0,-0.39651432661854447
no_trade_band,00_30,BULL,132,2016-06-09,2025-11-11,0.8487878787878789,0.8800000000000001,0.8800000000000001,0.21387587614131695,0.2317054092201768,0.1316187670354337,0.00888554437084621,-0.04656739150833278,0.010804731817815716,-0.052892218547062164,-0.0019191874469695058
no_trade_band,30_50,BULL,65,2015-06-26,2025-12-10,0.8396923076923077,0.8200000000000002,0.8200000000000002,0.3574736002316841,0.3346069695273929,0.38894862958924026,0.0015385010489732398,-0.029421970083782556,0.0018313595321584053,-0.03806181371721462,-0.0002928584831851655
no_trade_band,50_70,BEAR,1,2023-10-30,2023-10-30,1.0,0.9600000000000001,0.68,0.7689401984214783,0.7170311750113079,0.6666666666666666,13.487308120890274,0.0,13.487308120890274,0.0,0.0
no_trade_band,50_70,BULL,37,2016-04-06,2026-01-26,0.7264864864864865,0.725945945945946,0.72,0.5685726845989358,0.5524352575358218,0.5965250965250964,0.0024621724242710474,-0.0503572793734226,0.002142231947163342,-0.07129102047187141,0.00031994047710770523
no_trade_band,50_70,NEUTRAL,2,2022-04-04,2022-11-21,0.98,0.98,0.68,0.7544650614261628,0.767327887411375,0.6078042328042328,-0.005447692485149536,0.0,-0.005940146203986196,0.0,0.0004924537188366607
no_trade_band,70_85,BEAR,8,2019-01-02,2025-05-07,0.5425,0.52,0.58,0.8116425428539515,0.8175481653293892,0.7838128306878307,0.005073957948637853,-0.014919967996654515,0.007818771756032739,-0.03036340614267663,-0.002744813807394886
no_trade_band,70_85,BULL,19,2015-06-12,2026-02-24,0.6242105263157893,0.6284210526315788,0.6199999999999999,0.6967769246352347,0.6672527431365612,0.7752415785883602,0.0007115326375337627,-0.025158019617067984,0.00012535841832761463,-0.04568171258380993,0.0005861742192061481
no_trade_band,70_85,NEUTRAL,1,2021-10-05,2021-10-05,0.52,0.58,0.58,0.8075562745332718,0.6899106495004232,0.7380952380952381,1.2648145740398617,0.0,7.752991876835864,0.0,-6.488177302796002
no_trade_band,85_95,BEAR,29,2016-02-23,2025-04-23,0.37068965517241376,0.3693103448275862,0.48000000000000004,0.877410492403754,0.8729171536074403,0.9163245758073342,-0.004808449103102852,-0.07138628807718728,-0.01741761187143387,-0.22103362648174307,0.012609162768331017
no_trade_band,85_95,BULL,9,2015-02-03,2019-08-14,0.5700000000000001,0.5633333333333334,0.52,0.7348729145195749,0.7054781238427769,0.8951322304513329,-0.00015582326513763345,-0.019501843566599564,0.001028402068737,-0.03037021264586337,-0.0011842253338746334
no_trade_band,95_100,BEAR,48,2015-08-28,2026-03-31,0.35250000000000004,0.35000000000000003,0.37999999999999995,0.898568969219923,0.8821661289055539,0.9797897504724219,0.006783543535709091,-0.020872384988842363,0.014596174039193777,-0.04788518295698341,-0.007812630503484685
no_trade_band,95_100,BULL,3,2015-01-06,2020-06-29,0.5800000000000001,0.5733333333333334,0.42,0.8139791190624237,0.7142087730559789,0.9774675916401566,0.0012324852804417308,-0.003520552563640922,0.003487379826666581,-0.005482904120787446,-0.0022548945462248504
no_trade_band,95_100,NEUTRAL,1,2023-01-05,2023-01-05,0.3800000000000001,0.3800000000000001,0.38,0.9074592500925064,0.8689004242395028,0.9616402116402116,0.2407167475424401,0.0,-0.13315991834798824,0.0,0.37387666589042834
no_trade_band,raw_fallback,BEAR,1,2014-10-22,2014-10-22,0.42,0.42,0.42,0.8581043303012849,0.8157978577119761,,1.4445342607636844,0.0,5.901520903294369,0.0,-4.456986642530684
no_trade_band,raw_fallback,BULL,73,2013-01-09,2014-12-11,0.8315068493150686,0.8419178082191783,0.8419178082191783,0.21191702997439527,0.20629653245279586,,-0.036866422981399194,-0.08484875062943564,-0.044434565591416564,-0.09993055667176598,0.00756814261001737
no_trade_override_high_vol_cross_up,50_70,BULL,3,2021-03-23,2022-11-28,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7850166648626328,0.7123646577557808,0.6538800705467371,0.014715764247536844,-0.002682347588879086,0.019915522901444938,-0.003415067228175639,-0.005199758653908093
no_trade_override_high_vol_cross_up,70_85,BEAR,1,2025-03-07,2025-03-07,0.52,0.52,0.58,0.8223451763391495,0.722684405703787,0.8002645502645502,-0.7794465784981417,0.0,-0.8779896519470811,0.0,0.09854307344893942
no_trade_override_high_vol_cross_up,70_85,BULL,5,2019-10-09,2024-08-08,0.62,0.62,0.62,0.8278668087720872,0.7226254167685229,0.7928571428571429,0.004884264709929864,-0.0018692678873057922,0.008856658719736732,-0.0018239133580100209,-0.003972394009806868
no_trade_override_high_vol_cross_up,70_85,NEUTRAL,1,2022-08-30,2022-08-30,0.58,0.58,0.58,0.81486094892025,0.7022618156648589,0.708994708994709,-0.1227567177000709,0.0,1.2023463666810144,0.0,-1.3251030843810852
no_trade_override_high_vol_cross_up,85_95,BEAR,2,2016-01-05,2026-03-12,0.42,0.42,0.48,0.8247717216610908,0.722405845193328,0.9338624338624338,-0.00033881701742954906,0.0,-0.0013895620251205276,0.0,0.0010507450076909786
no_trade_override_high_vol_cross_up,85_95,BULL,5,2016-06-29,2019-08-09,0.546,0.546,0.52,0.8269717633724213,0.7147357912757902,0.880952380952381,0.0010145858805590269,-0.012525017009020756,0.003674338119026732,-0.02081321935705316,-0.0026597522384677053
no_trade_override_high_vol_cross_up,85_95,NEUTRAL,1,2020-02-26,2020-02-26,0.48,0.48,0.48,0.8701134890317918,0.7210158976599599,0.9338624338624338,0.3777527453774645,0.0,-0.6539261654704556,0.0,1.03167891084792
no_trade_override_high_vol_cross_up,95_100,BEAR,1,2015-08-26,2015-08-26,0.35,0.35,0.38,0.8991860955953599,0.7082047813756632,0.9985007496251874,-0.14753800375961834,0.0,0.01275407737490597,0.0,-0.1602920811345243
no_trade_override_high_vol_cross_up,95_100,BULL,2,2015-01-14,2020-06-12,0.7,0.7,0.42,0.8719659551978112,0.7102786059436494,0.9878420552248677,0.0037452098961847646,0.0,0.005949895106714953,0.0,-0.0022046852105301884
no_trade_override_high_vol_cross_up,95_100,NEUTRAL,1,2015-12-14,2015-12-14,0.66,0.66,0.38,0.8952025592327119,0.7365322648313481,0.9838492597577388,7.521903791360781,0.0,37.88368819730952,0.0,-30.361784405948736
no_trade_override_high_vol_cross_up,raw_fallback,BEAR,1,2014-10-14,2014-10-14,0.8,0.8,0.52,0.8297633886337281,0.7222658323421383,,-0.28748065513041343,0.0,-0.19445899006421152,0.0,-0.09302166506620191
no_trade_override_major_trend_flip,30_50,BULL,1,2023-03-14,2023-03-14,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.6395480692386628,0.6289322769240477,0.4007936507936508,25.454863824702013,0.0,79.08148052005959,0.0,-53.62661669535757
no_trade_override_major_trend_flip,50_70,BEAR,3,2015-08-11,2016-10-11,0.68,0.68,0.68,0.3788077076276144,0.3108894019475351,0.634946123054958,-0.020127531292075118,-0.021775958073563806,-0.029570480797739496,-0.03327960391585316,0.009442949505664378
no_trade_override_major_trend_flip,70_85,BEAR,2,2019-10-02,2021-10-04,0.52,0.52,0.58,0.811536966264248,0.5857806447948959,0.8128306878306879,0.004184161730754088,0.0,0.008803007772362648,0.0,-0.00461884604160856
no_trade_override_major_trend_flip,70_85,BULL,2,2018-05-09,2022-09-07,0.7,0.7,0.62,0.7921092554926872,0.7975533395191645,0.7619047619047619,0.0026362899193947964,0.0,0.004271702636424957,0.0,-0.0016354127170301602
no_trade_override_major_trend_flip,raw_fallback,BULL,1,2014-10-24,2014-10-24,0.8,0.8,0.52,0.55232163220644,0.725555219093486,,6.629977866989365,0.0,16.708500312399046,0.0,-10.078522445409682
not_rebalance_day,00_30,BEAR,1,2023-09-22,2023-09-22,0.86,0.72,0.72,0.3458459258079529,0.2681131545934082,0.2804232804232804,-0.9596588080982891,0.0,-0.9759984460915018,0.0,0.016339637993212697
not_rebalance_day,00_30,BULL,596,2015-02-24,2026-05-07,0.8478187919463088,0.8805369127516778,0.88,0.2174246252070637,0.24537049260143026,0.135743715375296,0.01064423411567339,-0.16701072718253285,0.013215088137219055,-0.1891716336406979,-0.0025708540215456654
not_rebalance_day,30_50,BEAR,5,2015-08-14,2023-09-27,0.8240000000000001,0.8319999999999999,0.72,0.4274091759324074,0.46178813124437273,0.36955664747774,0.0019201371684278712,-0.0016971189427267275,0.0018874335230743,-0.0024270988666974525,3.2703645353571176e-05
not_rebalance_day,30_50,BULL,357,2015-03-02,2026-04-30,0.8173669467787115,0.8240336134453782,0.8200000000000001,0.3673797223748279,0.37912174168436985,0.400154437869592,0.017242069144603134,-0.07320243514401015,0.019301725984528506,-0.09670416291025175,-0.0020596568399253723
not_rebalance_day,30_50,NEUTRAL,8,2016-11-09,2023-03-10,0.87625,0.855,0.78,0.547222308255732,0.6186851781163198,0.4388227513227513,0.004442731971393332,-0.0032825136190778315,0.005614033198050539,-0.0032825136190776094,-0.0011713012266572065
not_rebalance_day,50_70,BEAR,23,2015-08-13,2023-11-01,0.7152173913043478,0.791304347826087,0.6799999999999999,0.5852769692306933,0.5989409830937386,0.6149533304944962,0.004836039765090394,-0.014945654540434838,0.0041649681544599915,-0.028528605609041247,0.0006710716106304027
not_rebalance_day,50_70,BULL,358,2015-01-02,2026-04-28,0.7401117318435754,0.7341899441340781,0.72,0.5200802493465846,0.5081155036165519,0.5941706724990813,0.004004989117989632,-0.1519278797262268,0.010289875800477244,-0.16343277472876283,-0.0062848866824876115
