year,strategy_return,stock_buyhold_return,benchmark_60_40_return,static_50_30_20_return,strategy_excess_vs_bh
2013,0.04069913012849313,0.02300324498683537,0.004466102069718314,0.007273027100156204,0.017695885141657763
2014,0.3125678189634167,0.4037524676423545,0.2814871834130279,0.22680170138658173,-0.09118464867893783
2015,-0.01786751281514576,-0.016847106185598593,0.003102935331183998,0.0036681390276840364,-0.0010204066295471659
2016,0.05993441133916955,0.15472071271149224,0.10105792224444832,0.08494031864712803,-0.09478630137232269
2017,0.48035905316946903,0.5083568280169157,0.29658818707652723,0.243340875742317,-0.0279977748474467
2018,-0.06719413348935399,-0.16202302611007835,-0.08155053864458717,-0.06390946556502153,0.09482889262072436
2019,0.6845438897864893,1.123206684070651,0.6350843146621827,0.5105538857931142,-0.43866279428416166
2020,0.457752054101042,0.7771098639235825,0.5038424572996847,0.4089008873217719,-0.3193578098225405
2021,0.2723272754867958,0.38010691600068736,0.20230927987436176,0.1693031805565799,-0.10777964051389155
2022,-0.21487110729170233,-0.2927469643126229,-0.21961411478231263,-0.17778864425066,0.07787585702092059
2023,0.31857009850677276,0.4662858289514116,0.2748021481143854,0.2368682008125078,-0.14771573044463882
2024,0.29695710008109333,0.32728474051238643,0.18951714240724438,0.16918910374409357,-0.0303276404312931
2025,0.16530278933858034,0.10317543550786157,0.10962485097585617,0.09929395006063735,0.06212735383071877
2026,0.09986238780391643,0.1521027220553013,0.08624725665537003,0.07568074078443865,-0.05224033425138486
