ticker,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
AAPL,00_30,BEAR,59,2015-07-07 00:00:00,2024-05-09 00:00:00,0.9840677966101695,0.8067796610169492,0.9840677966101695,0.2819178334484666,0.31382263534184685,0.15556900726392256,0.1565723426906913,-1.091008848173781,0.6818504319546737,0.17352370610445614,1.0,0.9322033898305084,1.0,0.4686372533888692,-0.07884186353918976,0.47088705773079975,0.46497332299616345,-0.07884186353918965,0.0036639303927057387
AAPL,00_30,BULL,795,2015-03-02 00:00:00,2026-02-06 00:00:00,0.8269182389937108,0.8023899371069183,0.8324528301886793,0.2904528478565831,0.3104405369278983,0.14961814914645102,0.14643572034502295,-1.1455635536386353,0.20216436899979723,0.32724566952992085,0.2389937106918239,0.1421383647798742,1.0,0.24686730691788328,-0.14907566559842444,0.25071889951301096,0.3082978076726439,-0.15769131320254148,-0.06143050075476064
AAPL,00_30,NEUTRAL,41,2015-06-29 00:00:00,2026-02-03 00:00:00,0.9512195121951221,0.7902439024390243,0.9600000000000002,0.29546750304175584,0.3329619280325521,0.158052651955091,0.1665237624134711,-1.0954185621542365,0.5923691383559232,0.21197776301608978,0.975609756097561,0.7804878048780488,1.0,1.8326276231244858,-0.02605570048007322,1.8643169041986951,2.1094189697542056,-0.02605570048007322,-0.2767913466297198
AAPL,30_50,BEAR,102,2015-07-08 00:00:00,2026-01-30 00:00:00,0.977254901960784,0.7043137254901957,0.9811764705882349,0.4257714142621148,0.45259841661713435,0.40978057889822594,0.41276042316667116,-0.3802365528906182,0.7094479722502527,0.14011219181503795,1.0,0.9411764705882353,1.0,0.8963147920629668,-0.15466001153323594,0.9083762995917257,0.9123305686672685,-0.15466001153323616,-0.016015776604301646
AAPL,30_50,BULL,377,2015-02-02 00:00:00,2026-05-07 00:00:00,0.7656233421750662,0.7312466843501326,0.7630238726790451,0.418579789974408,0.4224836399825702,0.3938465748810577,0.40144625405152307,-0.3842912659218353,0.1707412708501035,0.4047549769254189,0.16976127320954906,0.08488063660477453,1.0,-0.09713040729371514,-0.25260855281781225,-0.09211086126668311,-0.12113961429792708,-0.3043829432931713,0.02400920700421194
AAPL,30_50,NEUTRAL,35,2015-07-13 00:00:00,2025-02-27 00:00:00,0.9365714285714286,0.6868571428571428,0.9422857142857144,0.4429737232412611,0.4845650148215802,0.3757369614512472,0.4046814981460651,-0.348842676428831,0.5494788110915861,0.25254585349148456,1.0,0.7142857142857143,1.0,0.9250666870743274,-0.04176726317017965,0.9422185625620645,0.9437368568900704,-0.04168916058193939,-0.018670169815742987
AAPL,50_70,BEAR,133,2015-07-22 00:00:00,2026-01-21 00:00:00,0.884360902255639,0.6227067669172934,0.8980451127819549,0.5483573135520731,0.5650848304080225,0.617734813223535,0.6053578518141833,0.24332131515968147,0.6499909655967108,0.13197523740443978,0.8947368421052632,0.6240601503759399,1.0,0.7239833385794991,-0.11572858698599153,0.7369739253504273,0.9459737850455769,-0.13838728906948483,-0.2219904464660778
AAPL,50_70,BULL,383,2015-01-13 00:00:00,2026-04-30 00:00:00,0.7261618798955612,0.6753002610966057,0.7230287206266317,0.5087886047347719,0.496452435055378,0.6003460566123752,0.5972585465696959,0.17103519916393495,0.1931657930155062,0.3959464589603062,0.17754569190600522,0.12010443864229765,1.0,0.09228921340341101,-0.25174973261106415,0.09952089143874732,0.09899620013582777,-0.33221694410212177,-0.006706986732416764
AAPL,50_70,NEUTRAL,65,2015-01-21 00:00:00,2026-04-21 00:00:00,0.8852307692307693,0.6452307692307692,0.8603076923076923,0.5263762018313775,0.5076846148682657,0.6289377289377289,0.6105796456930298,0.20861159356627954,0.47515500026233276,0.2536497921950804,0.7076923076923077,0.47692307692307695,1.0,1.530594587075007,-0.10504188182378094,1.5544337518029065,1.4056957099401295,-0.12764847160182202,0.12489887713487757
AAPL,70_85,BEAR,178,2015-07-27 00:00:00,2026-04-14 00:00:00,0.8274157303370785,0.5329213483146067,0.8337078651685392,0.6830520224454029,0.6767292280452057,0.8023787230247905,0.7858726823176145,0.9194456536698505,0.6288502537914639,0.1395516082713345,0.8876404494382022,0.3595505617977528,1.0,-0.057802669512014626,-0.21532235014389456,-0.05272823655122849,-0.034032324122162505,-0.2560644157298826,-0.02377034538985212
