ticker,allocation_regime,mid_trend_state,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
AAPL,CUSTOM,BEAR,00_30,4,2018-02-02 00:00:00,2021-10-04 00:00:00,0.805,0.7599999999999999,0.805,0.3041124159470201,0.3685266561571246,0.14781746031746035,0.14748677248677244,-1.119592403966149,0.4108270838963235,0.30594771834346407,1.0,0.0,1.0,-0.13323490361076384,-0.03902137775407977,-0.13323490361076384,-0.13557099091164926,-0.04833468883177716,0.0023360873008854144
AAPL,CUSTOM,BEAR,30_50,4,2016-05-26 00:00:00,2026-01-23 00:00:00,0.8,0.685,0.8,0.4032123563811183,0.4736386904633411,0.3948412698412698,0.44146825396825395,-0.26574520991697564,0.43080665051036143,0.2659131485344482,1.0,0.0,1.0,10.112213932041884,0.0,10.112213932041884,19.159907589443744,0.0,-9.04769365740186
AAPL,CUSTOM,BEAR,50_70,26,2021-03-23 00:00:00,2026-01-21 00:00:00,0.8000000000000002,0.5176923076923077,0.8000000000000002,0.6406930616841867,0.7018585257567712,0.634386446886447,0.6255087505087504,0.42057004999932246,0.724557665844581,0.1053531296369577,1.0,0.0,1.0,0.05776919361747335,-0.09807165155216402,0.05776919361747335,0.024447006649771064,-0.12280559618977227,0.03332218696770228
AAPL,CUSTOM,BEAR,70_85,83,2015-09-24 00:00:00,2025-06-26 00:00:00,0.8019277108433733,0.4742168674698796,0.7999999999999999,0.7483371565140874,0.751029068682314,0.8184643335245747,0.7948498502021181,1.0463651422377478,0.7053523455393055,0.11021610693305578,1.0,0.0,1.0,-0.18459561165343652,-0.22952844542295048,-0.18459561165343652,-0.23902516007011032,-0.2748797278343158,0.0544295484166738
AAPL,CUSTOM,BEAR,85_95,86,2015-08-07 00:00:00,2026-03-18 00:00:00,0.8079069767441858,0.4574418604651164,0.7986046511627904,0.778653046454108,0.7580075910178548,0.9294250645994833,0.8960830256746231,1.5334574908022307,0.629570036239717,0.14524584309985258,0.9767441860465116,0.0,1.0,0.289150141618685,-0.09512233426761563,0.289150141618685,0.27320554007349473,-0.11983626247433943,0.015944601545190284
AAPL,CUSTOM,BEAR,95_100,28,2015-08-21 00:00:00,2025-05-27 00:00:00,0.8057142857142859,0.4342857142857143,0.8000000000000002,0.8159068077802658,0.7812044160900479,0.9932681405895691,0.9773990263790784,1.8911197137773044,0.5685271260550745,0.167756969555326,1.0,0.0,1.0,-0.22110299057191862,-0.11533656204657394,-0.22110299057191862,-0.2388905101788238,-0.1378545533913066,0.017787519606905167
AAPL,CUSTOM,BEAR,raw_fallback,66,2013-01-03 00:00:00,2013-05-20 00:00:00,0.8024242424242424,0.46242424242424246,0.7999999999999998,0.7553164506500417,0.7546577363294855,,,,0.6668246086145754,0.1117378680785515,1.0,0.0,0.0,-0.3042963072332082,-0.15204555327199654,-0.3042963072332082,-0.3701987092049026,-0.19023387839165462,0.06590240197169439
AAPL,CUSTOM,BULL,00_30,433,2015-04-17 00:00:00,2026-02-06 00:00:00,0.8287297921478061,0.826743648960739,0.8288221709006929,0.26819314041775033,0.27425664311776127,0.1309752923494263,0.11966687542240527,-1.22954944390713,0.1443028325335697,0.31887492367057213,0.15935334872979215,0.0,1.0,0.2065103728609632,-0.10161873253277953,0.2065103728609632,0.24933344066713503,-0.12532352026260962,-0.042823067806171844
AAPL,CUSTOM,BULL,30_50,88,2015-02-02 00:00:00,2026-02-11 00:00:00,0.8384090909090909,0.7752272727272728,0.8034090909090911,0.39660353295674367,0.36224168039995147,0.393713924963925,0.37754155063591344,-0.47570840118321994,0.18577392558145409,0.33479839398232253,0.29545454545454547,0.0,1.0,-0.4693284158926506,-0.21842204886341532,-0.4693284158926506,-0.5486038998280591,-0.2633719468692014,0.07927548393540851
AAPL,CUSTOM,BULL,50_70,45,2015-01-30 00:00:00,2026-04-20 00:00:00,0.8542222222222223,0.7133333333333334,0.7613333333333331,0.49966993167996404,0.4402256256961251,0.581657848324515,0.5919728153419591,0.1552924156400979,0.22835877631929197,0.36967509079243216,0.3111111111111111,0.0,1.0,1.1527955307613187,-0.03475324581380346,1.1527955307613187,1.5250859640316867,-0.037825381843761385,-0.37229043327036804
