start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-12-22,2022-12-23,2023-12-14,-0.27591594254206997,497,253,0.6086947791164659,0.6050479501359,0.48396287898479995,EXTREME_RISK
2025-02-14,2025-04-04,2025-07-24,-0.12404376445364274,109,34,0.5703636363636363,0.5746632204954711,0.423687801944806,EXTREME_RISK
2015-07-16,2016-02-05,2017-01-20,-0.12168835713451032,382,141,0.6699477806788513,0.5373379753518646,0.43306097057951387,RISK_OFF
2024-07-08,2024-09-04,2024-12-02,-0.101709087816508,103,41,0.7444230769230771,0.42533000415409955,0.3956341564177644,RISK_OFF
2020-02-14,2020-03-16,2020-04-27,-0.09902047419317839,49,20,0.4436,0.8200010149036251,0.5067966190637957,EXTREME_RISK
2025-10-27,2026-03-26,2026-04-20,-0.09675084770006714,119,103,0.7428333333333332,0.5390763970380787,0.5272986183188721,RISK_OFF
2018-08-29,2018-12-20,2019-03-07,-0.09099026615456973,129,78,0.5177692307692308,0.6821269340733599,0.40582946565908423,EXTREME_RISK
2018-01-24,2018-04-23,2018-07-10,-0.07769940307834322,115,61,0.5984482758620691,0.6451894495260418,0.4383635346274956,RISK_OFF
2020-08-31,2020-10-28,2021-01-15,-0.07300333893374045,95,41,0.4909375000000001,0.7514092582320084,0.561464527669583,RISK_OFF
2019-07-24,2019-09-30,2019-10-31,-0.07053638977578947,70,47,0.7128169014084507,0.5345415383293796,0.4520746163940668,CUSTOM
