prob_col,actual_col,positive_value,prob_bin,count,actual_rate,avg_prob,avg_strategy_return_net,ann_return_est,avg_stock_weight,avg_turnover
prob_high_vol,actual_risk,고변동,"(-0.001, 0.1]",99,0.13131313131313133,0.08947073398112759,0.0006916352546376771,0.18861273689391922,0.5999999999999999,0.0
prob_high_vol,actual_risk,고변동,"(0.1, 0.2]",701,0.14407988587731813,0.149771821692941,0.00010946943771328931,0.024493263107287166,0.6254493580599143,0.011554921540656208
prob_high_vol,actual_risk,고변동,"(0.2, 0.3]",525,0.24952380952380954,0.24459238369472447,0.0008111916945388483,0.2222133220842215,0.6543047619047618,0.0035047619047619055
prob_high_vol,actual_risk,고변동,"(0.3, 0.4]",394,0.31725888324873097,0.3468832298364017,0.0006717251561986671,0.17742696348621778,0.6685786802030456,0.013959390862944163
prob_high_vol,actual_risk,고변동,"(0.4, 0.5]",344,0.35755813953488375,0.4457892433348368,0.0003673127472693804,0.08969565011098513,0.7061627906976743,0.015581395348837207
prob_high_vol,actual_risk,고변동,"(0.5, 0.6]",288,0.4652777777777778,0.5470922241474487,0.0012637149576621503,0.36073204079514487,0.7013888888888888,0.046875
prob_high_vol,actual_risk,고변동,"(0.6, 0.7]",233,0.5836909871244635,0.650154213627302,0.0005882909159546491,0.14709641156653408,0.6755364806866953,0.08472103004291846
prob_high_vol,actual_risk,고변동,"(0.7, 0.8]",294,0.7414965986394558,0.7514873619458391,0.0001780719864543467,0.039295120096592306,0.42493197278911565,0.05632653061224489
prob_high_vol,actual_risk,고변동,"(0.8, 0.9]",301,0.8438538205980066,0.843761554645734,8.590586839735126e-05,0.016109767226628602,0.3368106312292358,0.022458471760797353
prob_high_vol,actual_risk,고변동,"(0.9, 1.0]",176,0.9318181818181818,0.9256103132429683,0.0008606472123785968,0.2344985584694388,0.25,0.0
prob_overall_risk,actual_risk,고변동,"(-0.001, 0.1]",99,0.13131313131313133,0.08947073398112759,0.0006916352546376771,0.18861273689391922,0.5999999999999999,0.0
prob_overall_risk,actual_risk,고변동,"(0.1, 0.2]",701,0.14407988587731813,0.149771821692941,0.00010946943771328931,0.024493263107287166,0.6254493580599143,0.011554921540656208
prob_overall_risk,actual_risk,고변동,"(0.2, 0.3]",525,0.24952380952380954,0.24459238369472447,0.0008111916945388483,0.2222133220842215,0.6543047619047618,0.0035047619047619055
prob_overall_risk,actual_risk,고변동,"(0.3, 0.4]",394,0.31725888324873097,0.3468832298364017,0.0006717251561986671,0.17742696348621778,0.6685786802030456,0.013959390862944163
prob_overall_risk,actual_risk,고변동,"(0.4, 0.5]",344,0.35755813953488375,0.4457892433348368,0.0003673127472693804,0.08969565011098513,0.7061627906976743,0.015581395348837207
prob_overall_risk,actual_risk,고변동,"(0.5, 0.6]",288,0.4652777777777778,0.5470922241474487,0.0012637149576621503,0.36073204079514487,0.7013888888888888,0.046875
prob_overall_risk,actual_risk,고변동,"(0.6, 0.7]",233,0.5836909871244635,0.650154213627302,0.0005882909159546491,0.14709641156653408,0.6755364806866953,0.08472103004291846
prob_overall_risk,actual_risk,고변동,"(0.7, 0.8]",294,0.7414965986394558,0.7514873619458391,0.0001780719864543467,0.039295120096592306,0.42493197278911565,0.05632653061224489
prob_overall_risk,actual_risk,고변동,"(0.8, 0.9]",301,0.8438538205980066,0.843761554645734,8.590586839735126e-05,0.016109767226628602,0.3368106312292358,0.022458471760797353
prob_overall_risk,actual_risk,고변동,"(0.9, 1.0]",176,0.9318181818181818,0.9256103132429683,0.0008606472123785968,0.2344985584694388,0.25,0.0
prob_down,actual_direction,하락,"(0.3, 0.4]",155,0.3032258064516129,0.38069090398422073,-0.0001768338577830153,-0.05052926544351288,0.7736129032258064,0.036
prob_down,actual_direction,하락,"(0.4, 0.5]",1932,0.31521739130434784,0.4601956102472306,0.0004690057657357306,0.11979823668398515,0.6216459627329193,0.02368530020703934
prob_down,actual_direction,하락,"(0.5, 0.6]",1165,0.27639484978540774,0.5309753396585698,0.0006558149250453954,0.1718351176105435,0.5300600858369099,0.01862660944206009
prob_down,actual_direction,하락,"(0.6, 0.7]",103,0.30097087378640774,0.6183761693975741,0.00048614615696096345,0.12271753127453144,0.37815533980582533,0.04194174757281554
prob_up,actual_direction,상승,"(0.3, 0.4]",76,0.8026315789473685,0.38228045739408073,0.0012486838174559584,0.36284003338595916,0.5996052631578948,0.028157894736842107
