allocation_regime,count,pct,ann_return_est,ann_vol_est,mean_daily_return,win_rate,avg_stock_weight,avg_turnover,annual_turnover_est,avg_prob_high_vol,actual_high_vol_rate
CUSTOM,1604,0.4778075662794161,0.2425585807119044,0.1475405325173692,0.000905430548010027,0.577930174563591,0.9628179551122196,0.019052369077306733,4.801197007481297,0.32157236408376527,0.2961346633416459
NORMAL,963,0.2868632707774799,0.05287876955098536,0.1449381160334908,0.00024622252246561053,0.5368639667705088,0.8275181723779855,0.0507165109034268,12.780560747663554,0.4624082341565574,0.37590861889927313
RISK_OFF,379,0.11289842120941317,0.08394253545112407,0.11404975874008455,0.0003457135975479455,0.575197889182058,0.46749340369393133,0.08474934036939315,21.35683377308707,0.7608652207905894,0.7203166226912929
EXTREME_RISK,321,0.09562109025915996,0.13453775890844422,0.11932935046394019,0.0005291547631455927,0.5638629283489096,0.3000000000000001,0.021682242990654185,5.463925233644854,0.8963505904179149,0.8722741433021807
WATCH,90,0.02680965147453083,0.2360086805883841,0.10712180681458094,0.0008636979416912418,0.5888888888888889,0.5999999999999999,0.06577777777777778,16.576,0.563558148102313,0.5666666666666667
