prob_col,actual_col,positive_value,prob_bin,count,actual_rate,avg_prob,ann_return_est,avg_stock_weight
prob_high_vol,actual_risk,고변동,"(-0.001, 0.1]",21,0.14285714285714285,0.09520485376450252,-0.34516251830481637,0.9714285714285715
prob_high_vol,actual_risk,고변동,"(0.1, 0.2]",545,0.1761467889908257,0.15210110531191548,0.17725519001585743,0.9445137614678899
prob_high_vol,actual_risk,고변동,"(0.2, 0.3]",565,0.21946902654867256,0.24534945684182322,0.26437115862078175,0.9313982300884955
prob_high_vol,actual_risk,고변동,"(0.3, 0.4]",389,0.2802056555269923,0.34805558075914395,-0.04208387267244473,0.9089974293059127
prob_high_vol,actual_risk,고변동,"(0.4, 0.5]",385,0.34025974025974026,0.4483276807015411,0.1937453264915754,0.8872207792207794
prob_high_vol,actual_risk,고변동,"(0.5, 0.6]",309,0.49838187702265374,0.5515315465418058,0.26890024334794504,0.8449838187702267
prob_high_vol,actual_risk,고변동,"(0.6, 0.7]",320,0.565625,0.6491190302675934,0.06141480668638577,0.7809375
prob_high_vol,actual_risk,고변동,"(0.7, 0.8]",328,0.6402439024390244,0.7454803859501166,0.29066819471983263,0.6595121951219513
prob_high_vol,actual_risk,고변동,"(0.8, 0.9]",321,0.8535825545171339,0.8543517863644015,0.010735569264094247,0.4128348909657321
prob_high_vol,actual_risk,고변동,"(0.9, 1.0]",174,0.9137931034482759,0.9166404598240147,0.2898330261822495,0.30068965517241397
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(-0.001, 0.1]",1189,0.021026072329688814,0.05920931093202117,0.09932017516323532,0.8912363330529858
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.1, 0.2]",631,0.061806656101426306,0.13870948658290555,0.10331116690779973,0.765958795562599
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.2, 0.3]",303,0.12871287128712872,0.24786354763920507,0.08292109860341057,0.7487128712871287
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.3, 0.4]",211,0.24644549763033174,0.34565383115285875,-0.09106711439702009,0.7631279620853081
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.4, 0.5]",218,0.42660550458715596,0.44635332169083386,0.516836445952956,0.7841284403669725
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.5, 0.6]",203,0.43349753694581283,0.5531448512663419,0.18748460724255733,0.6604926108374384
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.6, 0.7]",292,0.4863013698630137,0.6560239007361355,0.30853961028593013,0.6566438356164384
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.7, 0.8]",244,0.6885245901639344,0.7445853245106375,0.399482035827192,0.7879508196721312
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.8, 0.9]",66,0.8484848484848485,0.8359864511188635,0.42226596165371433,0.7400000000000001
prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,"(-0.001, 0.1]",216,0.14814814814814814,0.07749978501927395,0.02195725209021182,0.6049074074074076
prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,"(0.1, 0.2]",720,0.0763888888888889,0.154490843877619,0.39542570647808306,0.8084166666666668
prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,"(0.2, 0.3]",587,0.18568994889267462,0.24993759891639844,0.14219516810938182,0.8490289608177172
prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,"(0.3, 0.4]",635,0.28346456692913385,0.3490607337435322,0.05972848026218047,0.8462047244094488
prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,"(0.4, 0.5]",539,0.18738404452690166,0.4468858119592377,0.025411125901641185,0.8023005565862709
prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,"(0.5, 0.6]",447,0.19239373601789708,0.5447286100586956,0.13744379976819876,0.7805816554809845
prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,"(0.6, 0.7]",170,0.058823529411764705,0.6344805319766318,0.393701845108239,0.703529411764706
prob_down_strengthening_score,actual_direction_strength_20d,DOWN_STRENGTHENING,"(0.7, 0.8]",43,0.09302325581395349,0.7499240160640444,0.025969193911325794,0.4497674418604652
