period,strategy_net,strategy_gross,stock_buy_hold,bond,cash,avg_stock_weight,turnover_sum
2013-01-31,-0.004722242461810633,-0.004563199685792219,-0.005534606701023126,-0.0009361735880358824,-0.00021826829120841218,0.8990476190476189,0.15999999999999992
2013-02-28,0.015275650803347807,0.01539714935907166,0.018050484594576144,0.009104743040074359,0.0,0.8642105263157895,0.1200000000000001
2013-03-31,0.018870163646222737,0.018870163646222737,0.022455461726706538,0.0034095835052205814,0.00021831594265608878,0.82,0.0
2013-04-30,0.030548630434369617,0.030713603792377198,0.03244528608695907,0.017857524259241142,0.0,0.8454545454545453,0.16000000000000014
2013-05-31,0.02119023896200445,0.021352881725389627,0.024129248195277286,-0.03528850112072146,0.0,0.9690909090909091,0.15999999999999992
2013-06-30,-0.01937717724829069,-0.01890853338964349,-0.014150493445668988,-0.023614062987140194,-0.00021826829120830116,0.8300000000000001,0.48
2013-07-31,0.06529481951211791,0.06567611800365114,0.0729018336305598,-0.004676280682583744,8.881784197001252e-16,0.9118181818181821,0.3600000000000001
2013-08-31,-0.004237579419368642,-0.004237579419368642,-0.0033773345187572135,-0.022690373917315987,8.881784197001252e-16,0.9200000000000004,0.0
2013-09-30,0.039537868370906226,0.039537868370906226,0.04144330122439577,0.027103047072352338,4.440892098500626e-16,0.9200000000000003,0.0
2013-10-31,0.03552388909011328,0.03564745339347075,0.04118007894041109,0.004713476183482834,-0.0004365285160214949,0.8782608695652172,0.1200000000000001
2013-11-30,0.025044461386906525,0.025044461386906525,0.02990492868301109,-0.007692621047250547,0.0002182044565408603,0.86,0.0
2013-12-31,0.01377689037221641,0.01377689037221641,0.01762297417518588,-0.015167747369743467,-0.00021815685374415583,0.86,0.0
2014-01-31,-0.015651801961978795,-0.015015280429688027,-0.019967018005345727,0.029681972806967716,0.0,0.853333333333333,0.6399999999999999
2014-02-28,0.04549719977030775,0.046584025183987965,0.07392433850030744,-0.0016067570052524793,-0.00021841128541044696,0.7021052631578948,1.0400000000000003
2014-03-31,-0.016558960932577804,-0.01612422360184773,-0.01283405881751909,-0.0092257403742807,0.0,0.7561904761904761,0.43999999999999995
2014-04-30,-0.008226179064043548,-0.007511947135283803,-0.02180240827662583,0.018483870919792755,0.0,0.6933333333333335,0.72
2014-05-31,0.038414373086428366,0.039084155454904845,0.042176348968272714,0.004127519462280738,-0.00021887274742604657,0.935238095238095,0.6399999999999999
2014-06-30,0.04465903218694445,0.044867246915838876,0.04579444133529709,0.0001032894792303285,0.00021892066319306736,0.9800000000000001,0.19999999999999996
2014-07-31,0.002434652775686441,0.002434652775686441,0.0023134687891925854,0.011665467721738043,-0.00021887274742637963,0.9800000000000001,0.0
2014-08-31,0.03875294908755844,0.03908603285808043,0.04364271059706892,0.007238377468796742,-7.771561172376096e-16,0.9228571428571428,0.31999999999999984
2014-09-30,-0.01587988953737396,-0.015402308668193254,-0.020493751354566103,-0.0001920596822613252,-4.440892098500626e-16,0.9571428571428571,0.48
2014-10-31,0.06082340196290459,0.06289718609645822,0.04269046404685772,0.009433178159874211,-0.0002179895261567033,0.745217391304348,1.9599999999999997
2014-11-30,0.03577795632886471,0.035984518097615714,0.03818105234931246,0.0063821635181045,-0.0002190718782386636,0.943157894736842,0.19999999999999996
2014-12-31,-0.0337753552869785,-0.03343130135257777,-0.03252004727115454,0.019556874599577778,0.0,0.9309090909090911,0.3600000000000001
2015-01-31,0.010891571816280976,0.011381326946137582,0.015084333052781895,0.021461520098426057,0.0,0.892,0.48
2015-02-28,0.04998337698532285,0.05060821646044933,0.05740112083865512,-0.024625924010345357,-0.0002179813273013309,0.9336842105263157,0.5999999999999999
2015-03-31,-0.0240546338158657,-0.023312202968038154,-0.03222411698552119,0.02024858312631239,-0.00021875354581579742,0.8190909090909092,0.76
2015-04-30,0.026844910843721204,0.028975602325121086,0.03909809958385346,-0.01566304455825629,0.0,0.863809523809524,2.08
2015-05-31,0.004973719477810112,0.005660973909090705,0.00769028499460811,-0.00800376526864488,0.0,0.8880000000000001,0.6799999999999999
2015-06-30,-0.014569549536930682,-0.014569549536930682,-0.017004973877778884,-0.006710930110473856,-0.00021900850964573504,0.82,0.0
2015-07-31,0.03360979278957421,0.03422849712986742,0.03186675014443452,0.01474725379521602,-0.00021905648487985374,0.9536363636363633,0.6000000000000001
2015-08-31,-0.054331986719145964,-0.052712216382492905,-0.0672412486734798,0.004689851763202801,-2.220446049250313e-16,0.7609523809523809,1.72
2015-09-30,0.010466784754682434,0.010466784754682434,0.003494066763063186,0.019692740989666335,-4.440892098500626e-16,0.30000000000000004,0.0
2015-10-31,0.06269522394089244,0.06391231862755253,0.10575925079887227,-0.01733872112822299,-0.00021848290814141524,0.5190909090909093,1.1599999999999997
2015-11-30,-0.004548872760543832,-0.0019989886625569886,-0.004869228093004052,0.003721142072817596,-0.00021946321659782608,0.675,2.56
2015-12-31,-0.030567293774402038,-0.028741554524577162,-0.041993436483088176,-0.003057757058086308,0.00021951139127196484,0.6690909090909091,1.8800000000000003
2016-01-31,-0.03672921405148677,-0.03540453963457535,-0.065501749322046,0.03414554818466753,-0.00043799386995069245,0.5042105263157894,1.3599999999999997
2016-02-29,0.015912813031410122,0.015912813031410122,0.03602574593063523,0.00041590466665164527,0.0002186264103800628,0.42000000000000004,0.0
2016-03-31,0.039453551930936026,0.040908682961646514,0.041917282044265924,0.0098583289009746,0.00021951139127218688,0.7954545454545453,1.4000000000000001
2016-04-30,-0.030115220326627723,-0.029842822877495512,-0.0382937874080892,0.0005577341136027147,0.00043768301553503974,0.7666666666666667,0.28
2016-05-31,0.044723128938841006,0.04526583247407845,0.045871511315223046,-0.0012392992782257473,-0.00021905648487996476,0.9295238095238095,0.52
2016-06-30,-0.024997849537550798,-0.0246072710046904,-0.02598942336203003,0.03639998094241803,0.0004382089622745333,0.9872727272727274,0.3999999999999999
2016-07-31,0.06089481656634854,0.06131727509134999,0.07019190634368289,-0.011458304391204654,0.0,0.9380000000000001,0.3999999999999999
2016-08-31,0.018788947532492717,0.018788947532492717,0.018788947532492717,-0.005302503403015302,0.0002188014094000046,1.0,0.0
2016-09-30,0.006568624865594508,0.008215121545081194,0.013205293748925095,-0.0035068668436090134,0.0,0.8333333333333331,1.64
2016-10-31,-0.020620108880838428,-0.019991921945633928,-0.02694938433901961,-0.005096476194690669,0.00021802885352029122,0.9076190476190472,0.6399999999999999
2016-11-30,-0.00799009839423348,-0.006844293408350688,0.004514628779310748,-0.04454726691196531,-0.0001963488024172566,0.8752380952380951,1.1599999999999997
2016-12-31,0.04270787490024297,0.04295881908779475,0.041879258616161374,-0.0011735789529918605,0.0004155502764591201,0.9542857142857141,0.24
2017-01-31,0.039400770284698794,0.03960929242209388,0.042682560485962195,-1.167446382088766e-05,6.571121524978629e-05,0.945,0.19999999999999996
2017-02-28,0.04267030674354855,0.04267030674354855,0.043568526183900946,-0.0011121640373628061,4.408053285676061e-05,0.9800000000000001,0.0
2017-03-31,0.014812423329707114,0.014974114906472824,0.015335615853421691,0.014258236132980828,0.0003055494737675968,0.9626086956521737,0.15999999999999992
2017-04-30,0.03390807787322525,0.03390807787322525,0.03712913834486886,0.0074670962980474265,0.0003718641482515217,0.8999999999999999,0.0
2017-05-31,0.041986265219543295,0.04215313810833199,0.04387670818876033,0.012258136306829925,0.0005908322359062801,0.9581818181818182,0.15999999999999992
2017-06-30,-0.0332824954210067,-0.03238413141519314,-0.03872369143091692,-0.011820202169550265,0.0007666776413486343,0.8581818181818179,0.9199999999999999
2017-07-31,0.025726644413601063,0.027079707895780736,0.046680469389765555,0.008246074806699255,0.0009183996632879943,0.764,1.3200000000000003
2017-08-31,-0.0058745262816370936,-0.004275695943148139,0.005140716312898697,0.017058651267964686,0.00028473771787407287,0.8191304347826085,1.5999999999999999
2017-09-30,0.0065371242733971435,0.0072204795929762255,0.010500710997862095,-0.01807155962113205,0.0011381109791768207,0.9160000000000001,0.6799999999999999
2017-10-31,0.03894646003703284,0.03894646003703284,0.04057890372492845,-0.00024173362978729962,0.0005465169920939594,0.9600000000000002,0.0
2017-11-30,0.005684496205576872,0.005684496205576872,0.005928373037358048,-0.001501822906232797,0.0008309110440227752,0.9600000000000002,0.0
2017-12-31,0.045819165390744265,0.046237429189851964,0.0501254631381971,-0.0036393029194760063,0.0008976059486220933,0.9350000000000002,0.3999999999999999
2018-01-31,0.02674399572187469,0.02674399572187469,0.028619338771692204,-0.027946000102668123,0.0010500537258306686,0.9600000000000002,0.0
2018-02-28,-0.01914012634498674,-0.018284037402727993,0.008383768788908563,8.941260923589489e-05,0.0009734843841029406,0.6357894736842105,0.8799999999999999
2018-03-31,-0.04606497917747543,-0.04346646585172553,-0.05105675192321868,0.008764747778380766,0.0009292499130397758,0.6638095238095238,2.68
2018-04-30,0.00018758491643677822,0.0014274902046238491,0.028996457831556688,-0.011958978859558766,0.0013897625505470135,0.6133333333333335,1.2399999999999998
2018-05-31,0.0618659328356701,0.06389729647357001,0.07712277819631641,0.003951117041212093,0.0014870013262251458,0.8854545454545453,1.9200000000000004
2018-06-30,-0.013653550614434184,-0.011678153844544514,-0.017982781470144538,0.011129134278949904,0.0013886344120754845,0.8276190476190477,2.0
2018-07-31,0.02968179347589217,0.03034072638594898,0.05111206263533408,-0.008294527814445618,0.001476509628793421,0.8142857142857144,0.6400000000000001
