period,strategy_net,strategy_gross,stock_buy_hold,bond,cash,avg_stock_weight,turnover_sum,max_drawdown_inside_period
2013-01-31,-0.003653420945121666,-0.003095424119408108,-0.005535052528118922,-0.0009361735880352162,-0.0002183715928011365,0.8580952380952379,0.5599999999999998,-0.013744135586321926
2013-02-28,0.014779958776493851,0.014779958776493851,0.018051068388969416,0.0091050313929808,0.0,0.7200000000000002,0.0,-0.018059476509424077
2013-03-31,0.017174755899355132,0.017378476359333872,0.02245514269400939,0.003410154033195889,0.00021841928936927602,0.7700000000000001,0.19999999999999973,-0.009004507721629085
2013-04-30,0.026626627516079804,0.026833199927147167,0.03244448959988211,0.01785570539623893,0.0,0.7200000000000002,0.19999999999999973,-0.028261850305415837
2013-05-31,0.010880767087255938,0.010880767087255938,0.024130522233862806,-0.035287508155710356,0.0,0.7200000000000002,0.0,-0.015503705714695393
2013-06-30,-0.014280480303148213,-0.014280480303148213,-0.014151303796059111,-0.023613867358792007,-0.0002183715928011365,0.7200000000000002,0.0,-0.041123346905739044
2013-07-31,0.055947089680979056,0.05678817386069035,0.07290245879453727,-0.004676972369061172,-5.551115123125783e-16,0.8109090909090909,0.7999999999999998,-0.014152315909822133
2013-08-31,-0.006382685245629238,-0.006382685245629238,-0.0033781049511735217,-0.022690581897969242,-4.440892098500626e-16,0.7200000000000002,0.0,-0.01877894969174665
2013-09-30,0.03471633814017183,0.03471633814017183,0.041444102115350656,0.02710326719576206,-4.440892098500626e-16,0.7200000000000002,0.0,-0.004404380778801564
2013-10-31,0.03050677625380116,0.03050677625380116,0.041180074571563585,0.00471486544741051,-0.0004368385787388851,0.7200000000000003,0.0,-0.022258514909391902
2013-11-30,0.020195446801690498,0.020195446801690498,0.02990492563584235,-0.0076934025367048076,0.00021861815949542063,0.7200000000000002,0.0,-0.013078307445278159
2013-12-31,0.009956727128026976,0.009956727128026976,0.017623071368171095,-0.01516794315311465,-0.00021857037604244844,0.7200000000000002,0.0,-0.012942932892027081
2014-01-31,-0.008894014223234326,-0.008894014223234326,-0.019967208569172223,0.02968167001620592,-5.551115123125783e-16,0.7200000000000002,0.0,-0.03263546364907077
2014-02-28,0.04720983936178946,0.0476256448188872,0.07392443770430446,-0.0016062673735802724,-0.0002184113305847557,0.6673684210526316,0.40000000000000036,-0.005395002486189959
2014-03-31,-0.014035996782086557,-0.013839636648862785,-0.012834057631970652,-0.009225738562740449,-5.551115123125783e-16,0.7057142857142857,0.20000000000000018,-0.031657380824960835
2014-04-30,-0.01665796429235422,-0.015929607537561452,-0.021802406236440364,0.018484164534768865,-3.3306690738754696e-16,0.5433333333333332,0.7400000000000004,-0.03193718519715982
2014-05-31,0.0368515254639068,0.03794470976643516,0.04217624927177388,0.004126739099702625,-0.00021845904451478493,0.9452380952380951,1.04,-0.01719377219998286
2014-06-30,0.03699572469966461,0.03751400148639039,0.04579462491620756,0.00010319261478142217,0.000218506779297023,0.7676190476190476,0.4999999999999998,-0.006048634884155302
2014-07-31,0.003921956729244336,0.003921956729244336,0.0023132050700398477,0.011665666011501541,-0.000218459044515118,0.7200000000000002,0.0,-0.019226039179350285
2014-08-31,0.02973907493824446,0.03014995384587915,0.043642626850342925,0.00723866615705715,-7.771561172376096e-16,0.6961904761904764,0.40000000000000036,-0.003963861339914665
2014-09-30,-0.014630497277988597,-0.014630497277988597,-0.02049375479368598,-0.0001921547430417947,-4.440892098500626e-16,0.7200000000000002,0.0,-0.018104961036878975
2014-10-31,0.022579409394265504,0.024083841912679205,0.042690899671195215,0.00943289286792992,-0.00021840331964761983,0.607391304347826,1.4800000000000004,-0.03726776732669046
2014-11-30,0.032409516066378874,0.03282419801174985,0.038180714319749454,0.006382353739179392,-0.00021834754782767973,0.825263157894737,0.3999999999999999,-0.008613326618924333
2014-12-31,-0.02103566508017296,-0.020643359831715058,-0.03251981244422575,0.019557157263905944,-4.440892098500626e-16,0.6972727272727274,0.40000000000000036,-0.0346025633152911
