hold_reason,count,pct,ann_return_strat,ann_return_bh,bh_gap,win_rate,ann_vol,sharpe,avg_stock_weight
not_rebalance_day,2221,0.6616026213881442,0.1718190971285647,0.2361096964164222,-0.06429059928785752,0.5677622692480865,0.11717957925187424,1.4662887358491392,0.7081224673570463
no_trade_band,491,0.14626154304438488,0.008900719683849756,-0.06104251255881277,0.06994323224266252,0.5519348268839104,0.1326066313271121,0.06712122610138245,0.6655397148676172
strong_offensive_override,369,0.10991957104557641,0.5197185008482978,0.5495922887492859,-0.029873787900988047,0.5934959349593496,0.1694663456089358,3.066794760817062,0.9827642276422763
scheduled,167,0.04974679773607388,0.04535295237484194,0.06470184430669867,-0.019348891931856738,0.5329341317365269,0.12965065522138505,0.3498088945050025,0.6954491017964073
emergency,42,0.012511170688114389,-0.062208676803688134,-0.004325318728583993,-0.05788335807510414,0.5238095238095238,0.14026144827952933,-0.443519424380329,0.4852380952380953
stale_offensive_decay,39,0.01161751563896336,0.264876366536702,0.6601788118965062,-0.3953024453598042,0.5641025641025641,0.11237753542689352,2.3570223846830634,0.5825641025641027
no_trade_override_prob_high_vol_cross_0.70,27,0.00804289544235925,0.0716950154184528,-0.20596688796369667,0.27766190338214947,0.48148148148148145,0.20981528033682761,0.34170540536112043,0.645925925925926
initial,1,0.0002978850163836759,-0.564265223087903,-0.564265223087903,0.0,0.0,,,1.0
