year,strategy_return,stock_buyhold_return,benchmark_60_40_return,static_50_30_20_return,strategy_excess_vs_bh
2013,0.23552382782141712,0.28033509944870283,0.13932456120751557,0.1168385641702192,-0.04481127162728571
2014,0.10431980073293223,0.12451037458918246,0.11710322304308862,0.09325636435644591,-0.020190573856250227
2015,-0.03585983133732584,0.018813821239057615,0.01864857529210462,0.015479207219329716,-0.05467365257638346
2016,0.0975912524141882,0.1494118443401382,0.0933595972366521,0.07758554078580526,-0.05182059192595001
2017,0.20550631936093655,0.21691334908679494,0.1362275346936006,0.11305907652214664,-0.011407029725858386
2018,-0.036826540054782475,-0.07993945413214576,-0.03604801161446469,-0.026938185971095985,0.043112914077363285
2019,0.22098905672538716,0.3452153609375588,0.23646872604761415,0.19548923766539028,-0.12422630421217162
2020,0.1617021419390412,0.17324089951861987,0.15696453502553864,0.1294330767994305,-0.011538757579578673
2021,0.24690447216992362,0.3031956066742456,0.1557689039361727,0.1300419021748418,-0.056291134504321994
2022,-0.24757710029151092,-0.18336112923036274,-0.1563547675749294,-0.1241000075968175,-0.06421597106114818
2023,0.21791785165245825,0.24013706802700696,0.14992141774320022,0.1342986766618921,-0.02221921637454871
2024,0.233984880342063,0.27891596845115574,0.15892484638397653,0.1430084868355077,-0.04493108810909274
2025,0.1281945152661781,0.1754304024830582,0.14361122903113643,0.12546032615063996,-0.0472358872168801
2026,0.0526488863851462,0.07538571971170716,0.04006581596639602,0.03704998528303172,-0.022736833326560957
