regime,count,pct,ann_return_est,ann_vol_est,win_rate,avg_stock_weight,avg_prob_high_vol,avg_prob_up_strength,avg_risk_score
CUSTOM_UP,2145,0.6355555555555555,0.10868422109727938,0.11512935388953718,0.5571095571095571,0.9527304090465526,0.23827698884786494,0.5279680544433066,0.19125576914526418
NORMAL,595,0.17629629629629628,0.08844042440098576,0.11424490847033256,0.5546218487394958,0.7995846529352065,0.37436662591467224,0.39321866096698127,0.32868229793536996
WATCH,317,0.09392592592592593,0.2886722389190819,0.10887629572451596,0.5583596214511041,0.6354564660293777,0.6389659732643508,0.4642680607433558,0.5707789392529822
HIGH_VOL,314,0.09303703703703704,0.06588381350016004,0.11188256933658401,0.5700636942675159,0.3407038277770407,0.7332236221349949,0.4826260034752322,0.7738056839037022
EXTREME_RISK,4,0.0011851851851851852,-0.3828957697076265,0.1672627100940682,0.25,0.1735606909423738,0.8767827045896182,0.4750490545604364,0.9137478932127326
