feature,importance
atr_rank_252,0.07572101063993389
return_120d,0.0660925083587655
ma_gap_50_200,0.06451792440550254
vol_rank_60_252,0.06275834558548125
price_ma_120_gap,0.05793983083778778
vol_rank_20_252,0.057900993849884355
ma200_slope_60,0.05021485675793899
ma_gap_60_120,0.04461352547746053
drawdown_20,0.03353470484825692
atr_pct_60,0.032174550522267156
price_position_120,0.030848957279612583
downside_vol_60,0.02682633707876754
ma_gap_20_60,0.026187060670762333
realized_vol_20,0.02562690608974019
positive_return_ratio_60,0.02503714325157328
price_ma_20_gap,0.02500160649188061
price_position_20,0.022955414896781465
realized_vol_60,0.021069698796022388
price_ma_60_gap,0.01997910665793229
atr_pct_10,0.01986030605415591
return_60d,0.01913833743027222
true_range_pct,0.015930519249718802
return_60d_over_vol60,0.014769113847194652
atr_pct_14,0.01451249149487873
high_volume_down_ratio_20,0.013835616778598818
return_10d,0.012232661800998865
drawdown_60_over_vol60,0.011792497405992508
downside_vol_20,0.01171149165355147
return_5d,0.01169829769420594
close_to_20d_high,0.010315437974259916
drawdown_120,0.01019050500590552
down_volume_ratio_20,0.009218366443441225
trend_slope_60,0.00881899474600775
volume_ratio_20,0.008427924528075136
atr_pct_20,0.0065137312378717865
drawdown_60,0.00609069868749156
return_20d,0.005425933777329932
volume_zscore_20,0.005152844317026634
positive_return_ratio_20,0.004674508115297299
close_to_60d_high,0.0033779126402419227
close_to_120d_high,0.0022132416560718443
price_position_60,0.0021556675582464816
return_20d_over_hvol,0.0019480041351861658
trend_slope_20,0.0009944071000095754
