period,strategy_return,stock_buyhold_return,benchmark_60_40_return
2013-01-31,0.023355263758604528,0.02614474536074174,0.015350350489477638
2013-02-28,0.02188968742920161,0.022602943593565072,0.01739334683042859
2013-03-31,0.028996715524859384,0.030064183386762977,0.01943429512258965
2013-04-30,0.016505307730005025,0.018683900434778078,0.018665137651299846
2013-05-31,0.01855955673025278,0.023849593091261223,-3.0070483357125255e-05
2013-06-30,-0.010365058616644163,-0.009152177701750808,-0.014699943022278728
2013-07-31,0.04575333244518465,0.060418322260719526,0.034064000996112176
2013-08-31,-0.029394218007676387,-0.030418716572968463,-0.027186839216796987
2013-09-30,0.02420356005189017,0.02566913550164185,0.026338256044567077
2013-10-31,0.038908499692202225,0.04521839490578938,0.029001480301766858
2013-11-30,0.01447051164342028,0.01651296401188529,0.00689041329570883
2013-12-31,0.022728725177327602,0.022992472055884727,0.007699244466571109
2014-01-31,-0.041008307621419826,-0.041008307621419826,-0.012983987958467003
2014-02-28,0.06950240089660875,0.06950240089660875,0.04064386237737416
2014-03-31,0.011374381573458603,0.011374381573458603,0.0032220877216675436
2014-04-30,-0.004341320922863434,-0.004341320922863434,0.004960327935811248
2014-05-31,0.025204678554497262,0.025204678554497262,0.01683942578038522
2014-06-30,0.027879068668336116,0.027879068668336116,0.01674639197097605
2014-07-31,-0.01693442838931114,-0.01693442838931114,-0.005417090178246653
2014-08-31,0.03409141855111142,0.03409141855111142,0.023350099890865783
2014-09-30,-0.02599152257413051,-0.02599152257413051,-0.015566316529700641
2014-10-31,0.01723982115203615,0.034416463156474286,0.024782120848788836
2014-11-30,0.0285244819191246,0.029940067895961153,0.02050033155243347
2014-12-31,-0.02055270301696821,-0.02055447115573017,-0.004228766253725924
2015-01-31,0.011413940224295649,0.015466714261521908,0.018418363358572387
2015-02-28,0.01313742863010292,0.03065800832235066,0.008306960153507958
2015-03-31,-0.006430110670613165,-0.01780291278023216,-0.0025898720206829484
2015-04-30,0.02311005917778819,0.023639129326397557,0.007865821664436501
2015-05-31,0.00018940684494750393,0.00018940684494750393,-0.002981126054586225
2015-06-30,-0.014390718843375838,-0.014390718843375838,-0.011016785422508169
2015-07-31,0.002555993835627657,0.00998508172646173,0.012136409795293845
