ticker,status,result_dir,period_start,period_end,rows,feature_count,strategy_final_capital,strategy_cagr_pct,strategy_mdd_pct,strategy_sharpe,strategy_sortino,strategy_calmar,gross_cagr_pct,cost_drag_cagr_pctp,buyhold_cagr_pct,buyhold_mdd_pct,buyhold_sharpe,buyhold_calmar,benchmark_6040_cagr_pct,benchmark_6040_mdd_pct,benchmark_6040_sharpe,static_50_30_20_cagr_pct,static_50_30_20_mdd_pct,avg_stock_weight_pct,min_stock_weight_pct,max_stock_weight_pct,annual_turnover_x,trade_executed_ratio_pct,emergency_rebalance_ratio_pct,offensive_activation_rate_pct,tier3_rate_pct,full_stock_rate_pct,latest_date,latest_pred_risk,latest_prob_normal_pct,latest_prob_high_vol_pct,latest_up_strength_score_pct,latest_down_strength_score_pct,latest_signal_regime,latest_allocation_regime,latest_stock_pct,latest_bond_pct,latest_cash_pct,excess_cagr_vs_buyhold_pctp,excess_cagr_vs_6040_pctp,mdd_improvement_vs_buyhold_pctp,model_suitability_score_0_100
NVDA,ok,results_v8_6_39_multi_asset_compare\nvda,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,12907210191.087729,44.03031330195051,-57.48378947861268,1.2215519195701277,1.7264267392393224,0.7659605203712666,44.830413739991016,0.8001004380405092,64.32518035068209,-66.33510012615963,1.3179610753419952,0.9697005089062205,38.94446055535372,-49.55154990714914,1.3456223992513072,32.55847417078235,-42.52080722086181,75.67768841227286,30.00000000000001,100.0,5.563967828418231,20.91152815013405,1.3404825737265416,30.145963658028002,16.115579386356867,,2026-05-07 00:00:00,정상,82.67,17.33,14.49,15.27,NORMAL,CUSTOM,86.0,9.1,4.9,-20.294867048731582,5.085852746596785,8.851310647546953,93.89
AVGO,ok,results_v8_6_39_multi_asset_compare\avgo,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,7400741711.8945,38.14047025994603,-41.3987401027932,1.228372966037029,1.7920114193862755,0.9212954347220017,38.922219507945165,0.7817492479991373,47.694325778741884,-48.29996020513787,1.2154944254897364,0.9874609746297149,29.380043188696803,-30.729584964483813,1.2489403056042798,24.719128590052698,-26.180893847587004,76.07506702412867,42.0,100.0,5.642037533512064,23.562704795948765,0.5957700327673519,34.2865653857611,17.485850461721775,,2026-05-07 00:00:00,정상,58.69,41.31,6.75,11.54,NORMAL,NORMAL,74.0,16.9,9.1,-9.553855518795856,8.760427071249225,6.9012201023446735,93.61
SMH,ok,results_v8_6_39_multi_asset_compare\smh,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,1764689368.323502,24.04626063899382,-35.000135763693905,1.1421297552172316,1.5680007386474641,0.687033353280227,24.8145523814167,0.7682917424228783,31.83773557213454,-45.3026361107693,1.0788544907476334,0.7027788734917813,20.049171038125046,-34.2802385726931,1.1212137952406755,17.015561585035677,-28.71290779796618,74.09472743521002,30.00000000000001,100.0,6.176514745308311,16.890080428954423,3.187369675305332,24.69466785820673,11.021745606196008,,2026-05-07 00:00:00,정상,75.66,24.34,5.6,10.12,NORMAL,CUSTOM,80.0,13.0,7.0,-7.791474933140719,3.997089600868776,10.302500347075394,81.11
SOXX,ok,results_v8_6_39_multi_asset_compare\soxx,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,1409058596.512221,21.96821978216683,-35.422442075017834,1.0225459071341005,1.3576003443676543,0.620178014142628,22.742874267008872,0.774654484842042,30.3857680813185,-45.753733636006665,1.022685481106983,0.6641155959653948,19.32388632901807,-34.571905617990105,1.0642438416822078,16.438953032559024,-28.967930808283537,73.71760500446828,30.00000000000001,100.0,6.338659517426273,17.57521596663688,2.978850163836759,24.545725350014894,10.753649091450699,,2026-05-07 00:00:00,정상,67.11,32.89,5.42,12.94,NORMAL,CUSTOM,80.0,13.0,7.0,-8.417548299151669,2.644333453148761,10.33129156098883,72.5
AAPL,ok,results_v8_6_39_multi_asset_compare\aapl,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,1139485807.689103,20.03944920672611,-31.488162944920717,0.9653949073461652,1.3348413047759509,0.63641214134274,20.705445639315844,0.6659964325897327,24.166820787013176,-38.51590447470989,0.9081468708414971,0.6274504290268313,15.668097815118486,-23.28212801616718,0.9469604658545978,13.424317844730815,-19.632211035471947,78.04349121239203,30.00000000000001,100.0,5.533941018766756,27.762883526958593,1.7873100983020553,40.06553470360441,22.25201072386059,,2026-05-07 00:00:00,정상,62.54,37.46,21.93,50.6,NORMAL,NORMAL,74.0,16.9,9.1,-4.127371580287065,4.371351391607625,7.027741529789175,66.67
QQQ,ok,results_v8_6_39_multi_asset_compare\qqq,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,761136682.144708,16.457852723665468,-27.040343634231302,1.2408080923300762,1.6918016090033647,0.6086406647151815,17.32867150477311,0.8708187811076407,20.444923943739557,-35.11873252151789,0.999613025671843,0.582165769542297,13.072501533719304,-27.841328903834473,1.0509743932648263,11.199227566141579,-23.00361049495221,73.06583258862078,30.00000000000001,100.0,7.4556568364611255,18.766756032171582,3.6639857015192137,22.25201072386059,11.766458147155198,,2026-05-07 00:00:00,정상,82.08,17.92,9.9,15.75,NORMAL,CUSTOM,86.0,9.1,4.9,-3.987071220074089,3.3853511899461637,8.07838888728659,63.33
GOOGL,ok,results_v8_6_39_multi_asset_compare\googl,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,1107006515.4413736,19.779155432007723,-40.40565279240702,0.9568474810297577,1.3906269669020834,0.489514562074458,20.490857438519306,0.7117020065115831,25.9592391434484,-44.320039797439804,0.9654519836028741,0.5857223789078809,16.624331895984355,-33.569507528700626,1.00148549456298,14.201563379430082,-28.059692794209347,76.23115877271373,42.0,100.0,5.921286863270777,21.447721179624665,1.459636580280012,37.11647304140602,15.013404825737265,,2026-05-07 00:00:00,정상,75.77,24.23,8.57,24.33,NORMAL,CUSTOM,80.0,13.0,7.0,-6.180083711440677,3.1548235360233683,3.9143870050327862,59.72
AMZN,ok,results_v8_6_39_multi_asset_compare\amzn,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,1169127474.1752985,20.27108046120205,-42.9488685694761,0.8722638736285816,1.2331567216070445,0.4719817107268054,20.955799478737937,0.6847190175358868,25.592527001948852,-56.14526325328264,0.8648040209305946,0.4558270015850809,16.790612441481436,-41.293793734816276,0.8938101334115675,14.4168745113747,-34.81285498715756,77.2374143580578,30.00000000000001,100.0,5.687077747989275,29.460828120345546,1.876675603217158,38.09949359547215,23.86058981233244,,2026-05-07 00:00:00,정상,79.73,20.27,4.39,30.03,NORMAL,CUSTOM,80.0,13.0,7.0,-5.321446540746802,3.4804680197206146,13.196394683806545,59.44
TSLA,ok,results_v8_6_39_multi_asset_compare\tsla,2013-08-07 00:00:00,2026-05-07 00:00:00,3207,83,2071609730.0206091,26.891634260894847,-66.91389826316805,0.7708591921669572,1.1367816434776508,0.4018841370612094,27.493084664197063,0.6014504033022163,34.50620947197598,-73.6322174421912,0.8052355248589441,0.4686292314782842,25.057646482512098,-54.95144685531843,0.8276076790847245,21.779852981577253,-47.467955752284205,76.51075771749298,30.00000000000001,100.0,4.717829747427501,31.088244465232307,1.7149984409105083,43.68568755846586,27.845338322419703,,2026-05-07 00:00:00,정상,70.03,29.97,56.1,20.84,NORMAL,NORMAL,100.0,0.0,0.0,-7.614575211081132,1.833987778382749,6.718319179023155,59.17
XLK,ok,results_v8_6_39_multi_asset_compare\xlk,2013-01-02 00:00:00,2026-05-07 00:00:00,3357,83,652928072.3864127,15.124966343236723,-27.916830486875355,1.0862032073640508,1.4508737397265274,0.5417866598555119,15.976747050883077,0.8517807076463537,22.055095430592118,-33.559075462815215,1.0026895721719904,0.6572021167576574,14.079266153289138,-26.624462362834024,1.0541707292649025,12.041302733828863,-21.97641072956896,72.32052427762883,30.00000000000001,100.0,7.362573726541555,17.78373547810545,3.783139708072684,24.515936848376526,11.200476616026215,,2026-05-07 00:00:00,정상,76.07,23.93,13.33,22.01,NORMAL,CUSTOM,80.0,13.0,7.0,-6.930129087355395,1.0457001899475848,5.64224497593986,51.67
