start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_risk_score,trough_regime
2021-11-18,2022-11-01,2024-01-17,-0.2973705244551049,790,348,0.6102784724141316,0.4780367608601772,0.4898215646706913,WATCH
2015-07-17,2016-06-23,2017-01-04,-0.12613802300665278,537,342,0.7542087785232946,0.32251939758429626,0.32050274017258024,CUSTOM_UP
2020-02-18,2020-03-10,2020-05-29,-0.12487794235801464,101,21,0.44565515012975865,0.708948096130009,0.6913450453389025,EXTREME_RISK
2018-08-28,2018-12-20,2019-04-01,-0.1079542918716091,216,114,0.5764714956725255,0.5567346426593134,0.5501114458947545,HIGH_VOL
2024-07-09,2024-08-05,2024-12-09,-0.10614344378902452,153,27,0.7334996229136264,0.40312636150659603,0.3661219031137198,HIGH_VOL
2024-12-13,2025-04-04,2025-06-26,-0.09858496675218897,195,112,0.5993937122017541,0.4717017839507119,0.4639833395034457,EXTREME_RISK
2020-09-01,2020-10-28,2021-01-06,-0.09513538616638106,127,57,0.6317291207209309,0.6627032331912365,0.5502395674658292,HIGH_VOL
2018-01-25,2018-02-06,2018-07-10,-0.09142160578283909,166,12,0.7209103870183353,0.499795501207082,0.4300258081358412,NORMAL
2025-10-28,2026-03-26,2026-04-22,-0.08752320635325783,176,149,0.7733877989001525,0.25316697724785364,0.27450868534044776,HIGH_VOL
2021-02-11,2021-03-04,2021-06-10,-0.08624804686088516,119,21,0.7703960314792407,0.46166868337663425,0.3992120608780766,HIGH_VOL
