year,strategy_return,stock_buyhold_return,benchmark_60_40_return,static_50_30_20_return,strategy_excess_vs_bh
2013,0.24756055829432655,0.31120995057601974,0.15610781625620485,0.13059207967873365,-0.0636493922816932
2014,0.08336405999721608,0.18864373315122873,0.15583992673469438,0.12492776174070985,-0.10527967315401265
2015,0.03189100483735574,0.08860051825901794,0.061114096076184676,0.05084251813505869,-0.056709513421662194
2016,0.046971197190035285,0.11178055830282885,0.07285701855725879,0.06096213618123003,-0.06480936111279356
2017,0.27271735579933387,0.3436123145569625,0.20664462769596592,0.17046272162800147,-0.07089495875762863
2018,0.004731387311533997,-0.05589076258097714,-0.01813725821253409,-0.011337690830217406,0.060622149892511135
2019,0.245280901939136,0.44136366474538047,0.29049157522212843,0.23915328402027014,-0.19608276280624448
2020,0.2814830200146641,0.46435457266360225,0.3238809385416861,0.2642053761654397,-0.18287155264893817
2021,0.19134316236654936,0.2774324354477613,0.143843068429242,0.12086341069737294,-0.08608927308121195
2022,-0.2647565765217911,-0.32479537633547695,-0.24350368864462957,-0.19924037622056323,0.06003879981368587
2023,0.3400456135366823,0.5093031820101563,0.2957754279032665,0.25353512433167014,-0.16925756847347406
2024,0.2045899854476636,0.3096218996049147,0.1779858528707161,0.15910373244103315,-0.1050319141572511
2025,0.15020498454108577,0.19774032512066952,0.1591984329054723,0.13866962817401518,-0.04753534057958375
2026,0.08330027029087561,0.14233084401255236,0.07936959774432406,0.06983207931582736,-0.05903057372167675
