section,count,pct,rebalance_type,trade_day_ratio,avg_turnover,annual_turnover_est,total_turnover,avg_trade_size_on_trade,max_turnover,cost_sum,allocation_regime
by_rebalance_type,20,0.005957700327673518,emergency,0.15,0.08600000000000003,21.672000000000008,1.7200000000000006,0.5733333333333336,0.7600000000000002,0.0017200000000000006,
by_rebalance_type,2204,0.6565385761096217,no_rebalance,0.01678765880217786,0.005571687840290382,1.4040653357531763,12.280000000000001,0.33189189189189194,0.7600000000000002,0.012280000000000001,
by_rebalance_type,1133,0.3375037235627048,scheduled_or_initial,0.21535745807590467,0.05398058252427184,13.603106796116505,61.16,0.250655737704918,0.7600000000000002,0.061160000000000006,
by_regime,1047,0.3118856121537087,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime,176,0.052427762883526956,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime,1008,0.3002680965147453,,0.1597222222222222,0.03876984126984127,9.77,39.08,0.24273291925465837,0.72,0.039080000000000004,NORMAL
by_regime,74,0.022043491212392016,,0.16216216216216217,0.09027027027027032,22.74810810810812,6.680000000000003,0.556666666666667,0.7600000000000002,0.006680000000000002,RISK_OFF
by_regime,1052,0.31337503723562704,,0.10551330798479087,0.0279467680608365,7.042585551330798,29.4,0.2648648648648649,0.7600000000000002,0.029399999999999996,WATCH
by_regime_rebalance_type,8,0.002383080131069407,emergency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,887,0.2642240095323205,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,152,0.04527852249031874,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,151,0.04498063747393506,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,25,0.0074471254095918975,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,579,0.17247542448614836,no_rebalance,0.05181347150259067,0.014922279792746115,3.7604145077720212,8.64,0.2880000000000001,0.43999999999999995,0.00864,NORMAL
by_regime_rebalance_type,429,0.12779267202859695,scheduled_or_initial,0.30536130536130535,0.07095571095571096,17.880839160839162,30.44,0.23236641221374044,0.72,0.030440000000000002,NORMAL
by_regime_rebalance_type,12,0.0035746201966041107,emergency,0.25,0.1433333333333334,36.12000000000002,1.7200000000000006,0.5733333333333336,0.7600000000000002,0.0017200000000000006,RISK_OFF
by_regime_rebalance_type,48,0.014298480786416443,no_rebalance,0.041666666666666664,0.031666666666666676,7.980000000000002,1.5200000000000005,0.7600000000000002,0.7600000000000002,0.0015200000000000005,RISK_OFF
by_regime_rebalance_type,14,0.004170390229371462,scheduled_or_initial,0.5,0.2457142857142858,61.92000000000002,3.4400000000000013,0.4914285714285716,0.7600000000000002,0.003440000000000001,RISK_OFF
by_regime_rebalance_type,539,0.1605600238308013,no_rebalance,0.00927643784786642,0.003933209647495362,0.9911688311688313,2.12,0.42400000000000004,0.56,0.00212,WATCH
by_regime_rebalance_type,513,0.15281501340482573,scheduled_or_initial,0.20662768031189083,0.05317738791423001,13.400701754385963,27.279999999999994,0.25735849056603766,0.7600000000000002,0.02728,WATCH
