start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2020-02-10,2020-03-16,2020-06-03,-0.41398740102793197,79,24,0.84925,0.6259575616276346,0.41930328133768313,CUSTOM
2024-12-12,2025-04-02,2025-05-08,-0.3211036752349762,99,74,0.6825999999999998,0.6956112769525482,0.449255072273408,WATCH
2021-12-22,2022-10-12,2023-05-15,-0.3037972371902691,349,202,0.8729714285714283,0.5096508340999025,0.4790690814487792,WATCH
2025-12-08,2026-03-26,2026-04-13,-0.22947660376782264,85,74,0.8162790697674414,0.6628245871517092,0.4853224618630329,WATCH
2015-05-27,2015-08-21,2015-12-01,-0.21506809913720482,131,61,0.8275757575757576,0.6493003167772217,0.4139838958529576,CUSTOM
2017-11-22,2018-07-11,2018-12-10,-0.21280559636385177,262,157,0.7917110266159695,0.6070109072089311,0.45667900010544243,CUSTOM
2014-09-16,2014-10-09,2014-11-24,-0.1740609578642882,49,17,0.69,0.582278107011032,0.453598345164846,NORMAL
2019-04-15,2019-05-29,2019-06-27,-0.163284163931394,51,30,0.8673076923076923,0.4027881444968961,0.4993497509276889,CUSTOM
2015-12-03,2016-02-09,2016-03-02,-0.16078186496289593,60,45,0.805573770491803,0.5416772981349169,0.46090401605794185,CUSTOM
2024-08-15,2024-09-04,2024-09-10,-0.14583709909198672,17,13,0.7333333333333333,0.5923741505390312,0.49314362628793973,WATCH
