start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_risk_score,trough_regime
2021-12-31,2022-10-12,2023-06-12,-0.33599503094931027,528,285,0.5919952700196458,0.4798707333133426,0.5405789714613284,WATCH
2024-07-09,2025-04-04,2025-09-30,-0.29531431729168456,448,269,0.6508835273081595,0.39686338630180495,0.4581269351937393,HIGH_VOL
2015-05-29,2015-08-21,2016-08-17,-0.19299159871625093,446,84,0.7647350543319098,0.26110962163289425,0.32989544771164825,NORMAL
2020-02-18,2020-03-16,2020-07-07,-0.18992956353777835,140,27,0.5165523272712398,0.5904299947238519,0.596339847569983,HIGH_VOL
2018-03-09,2018-10-25,2019-04-03,-0.17564641098905587,390,230,0.6978368737745901,0.48708004257260923,0.4944937336283868,HIGH_VOL
2019-04-23,2019-05-23,2019-10-23,-0.16368135785765925,183,30,0.8088976320459983,0.40932699678175183,0.4108112453523311,WATCH
2023-07-31,2023-10-26,2023-12-11,-0.1600626482313402,133,87,0.8218947927087152,0.1886235248010792,0.3017596312153125,WATCH
2014-09-17,2014-10-09,2014-12-03,-0.15498508054391957,77,22,0.8445549507588236,0.21745836800850965,0.2562204067835343,NORMAL
2021-02-12,2021-03-04,2021-03-31,-0.13628426453423592,47,20,0.9473796298061997,0.36371387511595576,0.35955903514890786,CUSTOM_UP
2021-04-01,2021-05-10,2021-07-29,-0.13039641157802084,119,39,0.9364871651561967,0.3093594531930169,0.29486294917637723,CUSTOM_UP
