year,strategy_return,stock_buyhold_return,benchmark_60_40_return,static_50_30_20_return,strategy_excess_vs_bh
2013,0.2979075262222233,0.3431904767719538,0.17531470238015,0.14660017046330842,-0.04528295054973053
2014,0.19847273964990642,0.2944686593606163,0.2192348768965915,0.17652981823592184,-0.09599591971070986
2015,-0.017741516162203985,-0.021410361017863755,-0.0022888657262971623,-0.0012866866110614605,0.0036688448556597697
2016,0.2711582481959811,0.4169245456559738,0.24488740302296708,0.20161518695804848,-0.1457662974599927
2017,0.41536951710300607,0.45688296120914984,0.27011243511546756,0.2221134074182325,-0.04151344410614377
2018,-0.08660034882383849,-0.15200610031658146,-0.07614256354363824,-0.05965647417846642,0.06540575149274297
2019,0.4435861228307001,0.7165282032966511,0.4407651729205122,0.35948902602357746,-0.27294208046595103
2020,0.4154176489005388,0.5493315210602348,0.3838442739441039,0.31423550734415495,-0.13391387215969597
2021,0.35888554325748223,0.44171501100665234,0.23848119390157785,0.19930908216303456,-0.0828294677491701
2022,-0.29226731862888966,-0.35149623873794267,-0.25400569745213764,-0.2068533531725758,0.05922892010905301
2023,0.4707118451777035,0.5519381777984869,0.3251923424908123,0.2787888567425627,-0.08122633262078338
2024,0.16189394144367553,0.23593089456937366,0.1500290311422332,0.13852920682680425,-0.07403695312569814
2025,0.34051409383516806,0.4397628707528942,0.31080011949886277,0.2645607982607172,-0.09924877691772616
2026,0.47412723627294273,0.6981153487119971,0.3797567388418044,0.31500324233556687,-0.22398811243905437
