ticker,hold_reason,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
QQQ,emergency,30_50,BEAR,1,2023-01-11 00:00:00,2023-01-11 00:00:00,0.42,0.42,0.42,0.5966496616601944,0.7955284748534187,0.3869047619047619,0.3492063492063492,-0.351018084168285,0.2818300085365883,0.5483349866792921,0.0,0.0,1.0,0.1821185116084787,0.0,0.25575977792439963,4.62915651031063,0.0,-4.447037998702152
QQQ,emergency,50_70,BEAR,2,2022-07-08 00:00:00,2022-11-17 00:00:00,0.61,0.42,0.61,0.7749991044402122,0.8167139909557596,0.6369047619047619,0.6547619047619048,0.6456808164629835,0.6347514715186515,0.1823219000914757,0.5,0.0,1.0,-0.7944660923915533,-0.009063170928472974,-0.7666473727458821,-0.9202944097784391,-0.01028707806585627,0.12582831738688582
QQQ,emergency,50_70,BULL,1,2020-08-03 00:00:00,2020-08-03 00:00:00,0.42,0.42,0.42,0.728651562333107,0.7950187201024114,0.6369047619047619,0.6970899470899471,0.7470148109911893,0.0752754275340769,0.8393935434603295,0.0,0.0,1.0,-0.11342609438738704,0.0,-0.05813106768884002,0.8656759659796254,0.0,-0.9791020603670124
QQQ,emergency,70_85,BEAR,6,2022-02-02 00:00:00,2025-05-01 00:00:00,0.5266666666666667,0.39999999999999997,0.5266666666666667,0.7903096968928974,0.8280581464413347,0.7754629629629629,0.746031746031746,0.954877072755996,0.6347991517519509,0.16027579760573493,0.3333333333333333,0.0,1.0,-0.3998146913931119,-0.024232684599667875,-0.3189537923510356,0.7166481457047957,-0.02341395580284844,-1.1164628370979077
QQQ,emergency,70_85,BULL,8,2018-05-04 00:00:00,2022-12-05 00:00:00,0.5625,0.42,0.5625,0.8096898216754198,0.8015994979325598,0.7723214285714286,0.7804232804232804,1.010810538121858,0.37446850837589807,0.38804851357501197,0.375,0.0,1.0,0.12200179341337658,-0.007288267046972052,0.2566128162499035,0.2495891195332003,-0.018976085618485627,-0.1275873261198237
QQQ,emergency,70_85,NEUTRAL,1,2022-09-15 00:00:00,2022-09-15 00:00:00,0.42,0.42,0.42,0.8513604879379273,0.7955223048765745,0.7738095238095238,0.7923280423280423,1.02823063889568,0.3391952728098077,0.4222166433415288,0.0,0.0,1.0,0.6549229656781599,0.0,0.740284824110657,6.063150700607639,0.0,-5.408227734929479
QQQ,emergency,85_95,BEAR,8,2016-03-08 00:00:00,2024-08-07 00:00:00,0.5175000000000001,0.375,0.5175000000000001,0.862667239829898,0.8254375957599022,0.9057539682539683,0.8953373015873016,1.3621674797851622,0.6105048965502684,0.17561595983304087,0.375,0.0,1.0,-0.7356978589240109,-0.045204339663758586,-0.7070453451415584,-0.7078900133500989,-0.06382457093409266,-0.027807845573911916
QQQ,emergency,85_95,BULL,6,2018-03-29 00:00:00,2021-03-05 00:00:00,0.4233333333333334,0.35999999999999993,0.4233333333333334,0.8693784768382709,0.8277908976052286,0.8710317460317459,0.8948412698412698,1.4054249440451019,0.21398494860090753,0.5590117632019963,0.16666666666666666,0.0,1.0,1.3957121532943133,-0.01689086123140182,1.5700783336785116,1.3482154441798548,-0.06946443387830181,0.04749670911445847
QQQ,emergency,95_100,BEAR,4,2016-02-16 00:00:00,2022-11-03 00:00:00,0.33000000000000007,0.33,0.33000000000000007,0.8808844871819019,0.8660484348831776,0.9692460317460317,0.9791666666666667,1.7151104401359745,0.7408187851918078,0.08082922044844752,0.0,0.0,1.0,-0.3433376725727807,-0.01149539988301207,-0.3023309728091851,-0.906358731523116,-0.04576657791455596,0.5630210589503353
QQQ,emergency,95_100,BULL,8,2015-12-21 00:00:00,2020-11-02 00:00:00,0.36000000000000004,0.36,0.36000000000000004,0.9015849687159062,0.8368583318415639,0.9791666666666667,0.9860987324222619,1.7377805889935032,0.2145845078281209,0.5113474388235919,0.0,0.0,1.0,1.3104127801148473,-0.010259263250823936,1.441657338892807,6.048090595037875,-0.029884822517669885,-4.737677814923028
QQQ,emergency,raw_fallback,BEAR,1,2014-04-15 00:00:00,2014-04-15 00:00:00,0.8,0.42,0.8,0.8333560317754746,0.7867751866597924,,,,0.414371460730299,0.3897380365609323,1.0,0.0,0.0,-0.2413746844805278,0.0,-0.12629464374091404,0.060202317452836995,0.0,-0.3015770019333648
QQQ,initial,raw_fallback,BULL,1,2013-01-02 00:00:00,2013-01-02 00:00:00,1.0,0.82,1.0,0.258761965483427,0.258761965483427,,,,0.5386362185544886,0.2045424291042328,1.0,1.0,0.0,-0.5642582471625771,0.0,-0.5642582471625771,-0.5642582471625771,0.0,0.0
QQQ,no_trade_band,00_30,BULL,107,2015-05-21 00:00:00,2026-05-06 00:00:00,0.8256074766355139,0.8358878504672895,0.8358878504672895,0.21780396917852285,0.23548789471587261,0.13686767541907727,0.1426400120474887,-1.2078353889120637,0.09001320995002379,0.31984112436164885,0.0,0.0,1.0,0.3637382836348304,-0.05746201615766955,0.3637382836348304,0.4377891906147131,-0.06624372116727517,-0.0740509069798827
QQQ,no_trade_band,30_50,BEAR,1,2024-04-30 00:00:00,2024-04-30 00:00:00,0.86,0.82,0.82,0.3948871836066246,0.3302453610147441,0.44642857142857145,0.4166666666666667,-0.4611187860063775,0.3306880754295941,0.4437488146550696,1.0,0.0,1.0,16.535334414625154,0.0,16.535334414625154,23.434430874583033,0.0,-6.899096459957878
