from_regime,CUSTOM,EXTREME_RISK,HIGH_VOL,NORMAL,RISK_OFF,WATCH
CUSTOM,0.9225543478260869,0.0,0.0,0.04483695652173913,0.009510869565217392,0.02309782608695652
EXTREME_RISK,0.0,0.9620853080568721,0.0,0.0,0.037914691943127965,0.0
HIGH_VOL,0.0,0.0,0.819047619047619,0.009523809523809525,0.11428571428571428,0.05714285714285714
NORMAL,0.07840772014475271,0.0,0.0,0.879372738238842,0.0,0.04221954161640531
RISK_OFF,0.064,0.032,0.008,0.0,0.852,0.044
WATCH,0.06952965235173825,0.0,0.034764826175869123,0.065439672801636,0.006134969325153374,0.8241308793456033
