section,count,pct,rebalance_type,trade_day_ratio,avg_turnover,annual_turnover_est,total_turnover,avg_trade_size_on_trade,max_turnover,cost_sum,allocation_regime
by_rebalance_type,63,0.01876675603217158,emergency,0.2698412698412698,0.12888888888888891,32.480000000000004,8.120000000000001,0.4776470588235295,0.7600000000000002,0.008120000000000002,
by_rebalance_type,1994,0.5939827226690497,no_rebalance,0.016549648946840523,0.007061183550651957,1.7794182547642932,14.080000000000002,0.42666666666666675,0.7600000000000002,0.014080000000000002,
by_rebalance_type,1300,0.3872505212987787,scheduled_or_initial,0.1753846153846154,0.041199999999999994,10.382399999999999,53.559999999999995,0.23491228070175438,0.7600000000000002,0.053559999999999997,
by_regime,1178,0.35090854929997023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime,113,0.033661006851355375,,0.04424778761061947,0.010619469026548664,2.6761061946902633,1.199999999999999,0.23999999999999982,0.2399999999999998,0.001199999999999999,EXTREME_RISK
by_regime,157,0.046767947572237116,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime,1081,0.32201370271075364,,0.15356151711378355,0.03411655874190564,8.597372802960221,36.879999999999995,0.2221686746987952,0.72,0.03688,NORMAL
by_regime,143,0.042597557342865654,,0.22377622377622378,0.12335664335664338,31.08587412587413,17.640000000000004,0.55125,0.7600000000000002,0.017640000000000003,RISK_OFF
by_regime,685,0.20405123622281798,,0.10948905109489052,0.029255474452554737,7.372379562043793,20.039999999999996,0.2672,0.7600000000000002,0.020039999999999995,WATCH
by_regime_rebalance_type,13,0.0038725052129877867,emergency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,983,0.2928209711051534,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,182,0.05421507298182902,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,22,0.0065534703604408695,emergency,0.13636363636363635,0.0327272727272727,8.24727272727272,0.7199999999999994,0.2399999999999998,0.2399999999999998,0.0007199999999999994,EXTREME_RISK
by_regime_rebalance_type,70,0.02085195114685731,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXTREME_RISK
by_regime_rebalance_type,21,0.006255585344057194,scheduled_or_initial,0.09523809523809523,0.022857142857142836,5.7599999999999945,0.4799999999999996,0.2399999999999998,0.2399999999999998,0.0004799999999999996,EXTREME_RISK
by_regime_rebalance_type,133,0.03961870717902889,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,24,0.0071492403932082215,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,373,0.1111111111111111,no_rebalance,0.05093833780160858,0.014906166219839144,3.7563538873994644,5.5600000000000005,0.2926315789473685,0.43999999999999995,0.005560000000000001,NORMAL
by_regime_rebalance_type,708,0.21090259159964253,scheduled_or_initial,0.2076271186440678,0.044237288135593224,11.147796610169493,31.32,0.21306122448979592,0.72,0.03132,NORMAL
by_regime_rebalance_type,28,0.008340780458742925,emergency,0.5,0.26428571428571435,66.60000000000001,7.400000000000002,0.5285714285714286,0.7600000000000002,0.007400000000000002,RISK_OFF
by_regime_rebalance_type,91,0.02710753649091451,no_rebalance,0.12087912087912088,0.07780219780219781,19.60615384615385,7.080000000000001,0.6436363636363637,0.7600000000000002,0.007080000000000002,RISK_OFF
by_regime_rebalance_type,24,0.0071492403932082215,scheduled_or_initial,0.2916666666666667,0.13166666666666668,33.18000000000001,3.1600000000000006,0.4514285714285715,0.7600000000000002,0.0031600000000000005,RISK_OFF
by_regime_rebalance_type,344,0.10247244563598451,no_rebalance,0.00872093023255814,0.004186046511627906,1.0548837209302324,1.44,0.48,0.56,0.0014399999999999999,WATCH
by_regime_rebalance_type,341,0.10157879058683349,scheduled_or_initial,0.21114369501466276,0.054545454545454536,13.745454545454542,18.599999999999998,0.2583333333333333,0.7600000000000002,0.0186,WATCH
