section,count,pct,rebalance_type,trade_day_ratio,avg_turnover,annual_turnover_est,total_turnover,avg_trade_size_on_trade,max_turnover,cost_sum,allocation_regime
by_rebalance_type,75,0.02234803337306317,emergency,0.14666666666666667,0.04106666666666669,10.348800000000006,3.0800000000000014,0.2800000000000002,0.28000000000000014,0.003080000000000001,
by_rebalance_type,2970,0.8849821215733016,no_rebalance,0.016835016835016835,0.006006734006734008,1.51369696969697,17.840000000000003,0.35680000000000006,0.72,0.01784,
by_rebalance_type,311,0.09266984505363528,scheduled_or_initial,0.12861736334405144,0.06327974276527332,15.946495176848876,19.68,0.492,1.24,0.019680000000000003,
by_regime,1241,0.3697854588796186,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime,417,0.12425506555423123,,0.0407673860911271,0.011414868105515593,2.8765467625899293,4.7600000000000025,0.28000000000000014,0.28000000000000014,0.004760000000000002,EXTREME_RISK
by_regime,542,0.16150178784266986,,0.03505535055350553,0.016457564575645754,4.14730627306273,8.919999999999998,0.4694736842105263,0.96,0.008919999999999999,NORMAL
by_regime,449,0.13379022646007152,,0.0779510022271715,0.026280623608017827,6.622717149220493,11.800000000000004,0.3371428571428572,0.72,0.011800000000000003,RISK_OFF
by_regime,707,0.21066746126340882,,0.042432814710042434,0.021386138613861384,5.389306930693069,15.12,0.504,1.24,0.015120000000000001,WATCH
by_regime_rebalance_type,1125,0.33522050059594755,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,116,0.03456495828367104,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,36,0.010727056019070322,emergency,0.05555555555555555,0.015555555555555564,3.920000000000002,0.5600000000000003,0.28000000000000014,0.28000000000000014,0.0005600000000000003,EXTREME_RISK
by_regime_rebalance_type,360,0.10727056019070322,no_rebalance,0.03888888888888889,0.010888888888888894,2.744000000000001,3.9200000000000017,0.2800000000000002,0.28000000000000014,0.003920000000000002,EXTREME_RISK
by_regime_rebalance_type,21,0.006257449344457688,scheduled_or_initial,0.047619047619047616,0.01333333333333334,3.3600000000000017,0.28000000000000014,0.28000000000000014,0.28000000000000014,0.00028000000000000014,EXTREME_RISK
by_regime_rebalance_type,482,0.1436233611442193,no_rebalance,0.01867219917012448,0.006307053941908714,1.589377593360996,3.04,0.33777777777777773,0.43999999999999995,0.00304,NORMAL
by_regime_rebalance_type,60,0.017878426698450536,scheduled_or_initial,0.16666666666666666,0.098,24.696,5.88,0.588,0.96,0.00588,NORMAL
by_regime_rebalance_type,39,0.011620977353992848,emergency,0.23076923076923078,0.06461538461538464,16.28307692307693,2.5200000000000014,0.28000000000000014,0.28000000000000014,0.0025200000000000014,RISK_OFF
by_regime_rebalance_type,378,0.11263408820023837,no_rebalance,0.04497354497354497,0.01703703703703704,4.293333333333335,6.440000000000001,0.3788235294117648,0.72,0.006440000000000001,RISK_OFF
by_regime_rebalance_type,32,0.009535160905840286,scheduled_or_initial,0.28125,0.08875000000000002,22.365000000000006,2.8400000000000007,0.3155555555555557,0.52,0.0028400000000000014,RISK_OFF
by_regime_rebalance_type,625,0.18623361144219308,no_rebalance,0.016,0.007103999999999999,1.7902079999999998,4.4399999999999995,0.44399999999999984,0.6399999999999999,0.0044399999999999995,WATCH
by_regime_rebalance_type,82,0.02443384982121573,scheduled_or_initial,0.24390243902439024,0.1302439024390244,32.821463414634145,10.680000000000001,0.534,1.24,0.01068,WATCH
